Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1ZgMsA55GIY7ICkQh5MILA,"Space Song","Depression Cherry","Beach House",2015-08-28,320466,76,false,60727spb0sfh9ijzix1ya4dxi,2023-10-22T17:48:59Z,"dream pop","Bella Union",0.508,0.786,0,-7.295,0,0.0293,0.226,0.14,0.143,0.611,147.077,4
spotify:track:1I9GllIh1R3EMvTFT5Tfn7,"Fair-Weather Friend","A Song For Every Moon","Bruno Major",2017-08-31,186712,0,false,60727spb0sfh9ijzix1ya4dxi,2023-10-22T17:50:15Z,"","Bruno Major",0.68,0.34,6,-6.985,1,0.115,0.56,0.0021,0.0705,0.391,131.353,3
spotify:track:0lKTZbj7of6RjyzsT65SUo,"The Show Must Go On","Columbo","Bruno Major",2023-07-21,266268,47,false,60727spb0sfh9ijzix1ya4dxi,2023-10-22T17:50:23Z,"","Bruno Major",0.672,0.291,7,-10.659,1,0.0387,0.669,0.00118,0.41,0.313,131.996,4
spotify:track:3vkCueOmm7xQDoJ17W1Pm3,"My Love Mine All Mine","The Land Is Inhospitable and So Are We","Mitski",2023-09-15,137773,87,false,60727spb0sfh9ijzix1ya4dxi,2023-10-22T17:50:33Z,"","Dead Oceans",0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
spotify:track:3oX7VxSz6EHHnxKGUjk9sx,"Let You Break My Heart Again","Let You Break My Heart Again","Laufey;Philharmonia Orchestra",2021-08-13,269066,0,false,60727spb0sfh9ijzix1ya4dxi,2023-10-22T17:51:11Z,"opera,classical,orchestral","Laufey",0.26,0.144,2,-15.126,1,0.036,0.965,0.113,0.111,0.127,80.428,4
spotify:track:7kQkmyoHCEqwe7QwDbkSXM,"Let's Fall in Love for the Night","Let’s Fall In Love For The Night","FINNEAS",2018-10-19,190348,3,true,60727spb0sfh9ijzix1ya4dxi,2023-10-22T17:51:21Z,"","OYOY",0.737,0.408,5,-7.941,1,0.104,0.802,0,0.171,0.374,127.921,4
spotify:track:5RXeWHkrfFSaHaUtehoFTW,"Jenny Wren","Chaos And Creation In The Backyard","Paul McCartney",2005-09-12,226720,42,false,60727spb0sfh9ijzix1ya4dxi,2023-10-22T17:51:48Z,"","Paul McCartney Catalog",0.455,0.229,5,-12.297,0,0.0296,0.82,0.00157,0.14,0.367,173.103,4
spotify:track:4w9Uex2WJC3QCawt8vLM05,"Junk - Remastered 2011","McCartney (Archive Collection)","Paul McCartney",1970-04-17,115293,40,false,60727spb0sfh9ijzix1ya4dxi,2023-10-22T17:52:05Z,"","Paul McCartney Catalog",0.712,0.0862,9,-17.696,1,0.0325,0.814,0.000259,0.191,0.315,90.666,3
spotify:track:2gx8bumNIp9AS3JSSYekgc,"Fog in the Mirror","Modern Johnny Sings: Songs in the Age of Vibe","Theo Katzman",2020-01-10,241376,25,false,60727spb0sfh9ijzix1ya4dxi,2023-10-22T17:52:13Z,"retro soul","Ten Good Songs",0.736,0.278,3,-14.971,1,0.0517,0.884,0.184,0.111,0.259,101.927,4
spotify:track:2k9N4caeCIJLOWwWwssrEM,"Easily","A Song For Every Moon","Bruno Major",2017-08-31,210240,2,false,60727spb0sfh9ijzix1ya4dxi,2023-10-22T17:52:19Z,"","Bruno Major",0.772,0.256,7,-8.545,0,0.0481,0.491,0.00612,0.144,0.357,118.902,3
spotify:track:2IAR0DziHCjSu16gR4ihvy,"Nothing","To Let A Good Thing Die","Bruno Major",2020-06-05,162797,1,false,60727spb0sfh9ijzix1ya4dxi,2023-10-22T17:52:24Z,"","Bruno Major",0.555,0.27,2,-15.892,1,0.0884,0.931,0.536,0.103,0.274,139.691,3
spotify:track:392wPVSI4mt5xTvV6bF5Hy,"Get to You","The Honeysticks","The Honeysticks",2018-03-23,255746,0,false,60727spb0sfh9ijzix1ya4dxi,2023-10-22T17:52:32Z,"","The Honeysticks",0.705,0.639,7,-6.928,0,0.0306,0.541,0.027,0.122,0.495,99.986,4
spotify:track:6ikeNpeQ5zBO98brvwSzN0,"Out Like a Light","Out Like a Light","The Honeysticks",2017-06-16,256018,0,false,60727spb0sfh9ijzix1ya4dxi,2023-10-22T17:52:36Z,"","The Honeysticks",0.523,0.458,11,-7.785,1,0.0275,0.171,0.00244,0.072,0.359,125.954,3
