Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1QEdpvDWjGPHsDSfQshJyW,"Seven Drunken Nights","St. Patrick's Day Celebration","The Dubliners",2011-03-11,193026,5,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:10:25Z,"celtic,celtic rock,sea shanties,celtic punk,folk","Arran Records",0.558,0.67,9,-6.592,1,0.049,0.47,0.00000123,0.171,0.9,117.884,4
spotify:track:16EaqCbPvZArwQC3Yp2h0W,"Finnegan's Wake","St. Patrick's Day Celebration","The Dubliners",2011-03-11,149173,5,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:10:25Z,"celtic,celtic rock,sea shanties,celtic punk,folk","Arran Records",0.562,0.609,7,-6.845,1,0.176,0.816,0.000622,0.145,0.957,81.261,4
spotify:track:2oLHdI8IvHYpqxg6961cIo,"Molly Malone","St. Patrick's Day Celebration","The Dubliners",2011-03-11,180480,5,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:10:25Z,"celtic,celtic rock,sea shanties,celtic punk,folk","Arran Records",0.265,0.266,2,-9.909,1,0.0386,0.882,0.453,0.268,0.208,191.55,3
spotify:track:3PfMFfRulr7rNkpyUlgKwx,"Cooley's Reel / The Dawn / The Mullingar Races","St. Patrick's Day Celebration","The Dubliners",2011-03-11,205546,25,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:10:25Z,"celtic,celtic rock,sea shanties,celtic punk,folk","Arran Records",0.385,0.698,5,-10.203,0,0.0443,0.305,0.971,0.131,0.769,116.014,4
spotify:track:0h9LbKXQvC52lpeACOb3vd,"Three Lovely Lassies From Kimmage","St. Patrick's Day Celebration","The Dubliners",2011-03-11,171960,2,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:10:25Z,"celtic,celtic rock,sea shanties,celtic punk,folk","Arran Records",0.687,0.697,7,-7.032,1,0.0522,0.724,0.000068,0.0736,0.926,94.485,3
spotify:track:5ali8A0cyxB4M4EyodHZAG,"Dirty Old Town","St. Patrick's Day Celebration","The Dubliners",2011-03-11,214813,6,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:10:25Z,"celtic,celtic rock,sea shanties,celtic punk,folk","Arran Records",0.541,0.384,5,-7.387,1,0.0287,0.772,0.000001,0.122,0.242,116.11,4
spotify:track:3VunkinTD3usueEGoB71bM,"The Auld Triangle","St. Patrick's Day Celebration","The Dubliners",2011-03-11,173560,2,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:10:25Z,"celtic,celtic rock,sea shanties,celtic punk,folk","Arran Records",0.553,0.0244,3,-14.338,1,0.0891,0.966,0,0.122,0.327,77.307,1
spotify:track:7C4JqV6evLc6q1U455Cl7i,"St. Patrick's Cathedral","St. Patrick's Day Celebration","The Dubliners",2011-03-11,215893,3,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:10:25Z,"celtic,celtic rock,sea shanties,celtic punk,folk","Arran Records",0.421,0.247,7,-10.377,1,0.0293,0.874,0,0.134,0.602,100.447,4
spotify:track:3N4LX5P6BCLgGkLHvjxQ5w,"Dicey Reilly","St. Patrick's Day Celebration","The Dubliners",2011-03-11,159613,2,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:10:25Z,"celtic,celtic rock,sea shanties,celtic punk,folk","Arran Records",0.535,0.6,0,-7.786,1,0.0496,0.647,0,0.065,0.965,125.913,4
spotify:track:2w5qaxkI9zM8A3MIpsZ9kL,"The Spanish Lady","St. Patrick's Day Celebration","The Dubliners",2011-03-11,225906,3,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:10:25Z,"celtic,celtic rock,sea shanties,celtic punk,folk","Arran Records",0.364,0.463,7,-9.8,1,0.0469,0.954,0.000177,0.0879,0.833,189.868,3
spotify:track:7aHPNOMfcu6i17pV8SzwBG,"I'll Tell Me Ma","St. Patrick's Day Celebration","The Dubliners",2011-03-11,149773,5,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:10:25Z,"celtic,celtic rock,sea shanties,celtic punk,folk","Arran Records",0.529,0.694,9,-7.43,1,0.0379,0.604,0,0.283,0.906,121.687,4
spotify:track:7pK5qbQWFgxnSaJXI6Hccv,"The Rare Auld Times","St. Patrick's Day Celebration","The Dubliners",2011-03-11,326600,3,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:10:25Z,"celtic,celtic rock,sea shanties,celtic punk,folk","Arran Records",0.632,0.252,0,-9.082,1,0.0268,0.736,0,0.224,0.303,102.726,4
spotify:track:1zyCP8f749HO2l3r2yqn3h,"Weile Waile","St. Patrick's Day Celebration","The Dubliners",2011-03-11,144733,2,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:10:25Z,"celtic,celtic rock,sea shanties,celtic punk,folk","Arran Records",0.614,0.6,9,-7.083,1,0.0255,0.715,0.0000439,0.0965,0.842,89.056,4
