Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1cLlmK3FxeKC1TfbkwSWtM,"Prelude: The Ballad of Sweeney Todd: ""Attend the Tale of Sweeney Todd""","Sweeney Todd: The Demon Barber of Fleet Street (Original Broadway Cast Recording)","Stephen Sondheim;Len Cariou;Original Broadway Cast of Sweeney Todd: The Demon Barber of Fleet Street;Paul Gemignani",1979,214306,31,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:19:55Z,"musicals","Masterworks Broadway",0.379,0.318,2,-12.37,1,0.054,0.863,0.000769,0.569,0.175,123.58,4
spotify:track:4FqRbcFtoTY9B9QbFffTOY,"No Place Like London","Sweeney Todd: The Demon Barber of Fleet Street (Original Broadway Cast Recording)","Stephen Sondheim;Len Cariou;Victor Garber;Merle Louise;Original Broadway Cast of Sweeney Todd: The Demon Barber of Fleet Street;Paul Gemignani",1979,219266,28,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:19:55Z,"musicals","Masterworks Broadway",0.376,0.275,9,-15.513,1,0.066,0.878,0.00183,0.101,0.31,96.735,4
spotify:track:2YLV29RrL9g1iYZB75zjCZ,"The Barber and His Wife","Sweeney Todd: The Demon Barber of Fleet Street (Original Broadway Cast Recording)","Stephen Sondheim;Len Cariou;Original Broadway Cast of Sweeney Todd: The Demon Barber of Fleet Street;Paul Gemignani",1979,160933,26,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:19:55Z,"musicals","Masterworks Broadway",0.28,0.216,0,-13.336,0,0.0652,0.745,0.00138,0.154,0.124,88.178,3
spotify:track:57dtwJobSi1FEf23SwgcvX,"The Worst Pies in London","Sweeney Todd: The Demon Barber of Fleet Street (Original Broadway Cast Recording)","Stephen Sondheim;Angela Lansbury;Original Broadway Cast of Sweeney Todd: The Demon Barber of Fleet Street;Paul Gemignani",1979,145906,33,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:19:55Z,"musicals","Masterworks Broadway",0.673,0.447,11,-9.71,1,0.265,0.83,0,0.0859,0.844,92.716,4
spotify:track:3Rpg6uSV8ANjIVlTxpxSWQ,"Poor Thing","Sweeney Todd: The Demon Barber of Fleet Street (Original Broadway Cast Recording)","Stephen Sondheim;Angela Lansbury;Original Broadway Cast of Sweeney Todd: The Demon Barber of Fleet Street;Paul Gemignani",1979,207706,27,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:19:55Z,"musicals","Masterworks Broadway",0.578,0.351,2,-11.075,1,0.0649,0.853,0,0.0887,0.472,117.039,4
spotify:track:47373YsMOwLhfcbYtmKSi9,"My Friends","Sweeney Todd: The Demon Barber of Fleet Street (Original Broadway Cast Recording)","Stephen Sondheim;Len Cariou;Angela Lansbury;Original Broadway Cast of Sweeney Todd: The Demon Barber of Fleet Street;Paul Gemignani",1979,163866,28,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:19:55Z,"musicals","Masterworks Broadway",0.318,0.272,8,-10.503,1,0.0364,0.855,0.00000341,0.136,0.207,84.783,1
spotify:track:2IqVjQ8O47Bz7SqSMSBgS6,"The Ballad of Sweeney Todd: ""Lift Your Razor High, Sweeney!""","Sweeney Todd: The Demon Barber of Fleet Street (Original Broadway Cast Recording)","Stephen Sondheim;Sweeney Todd: The Demon Barber of Fleet Street Original Broadway Cast Ensemble;Original Broadway Cast of Sweeney Todd: The Demon Barber of Fleet Street;Paul Gemignani",1979,54840,25,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:19:55Z,"musicals","Masterworks Broadway",0.436,0.327,2,-7.515,1,0.0316,0.876,0,0.494,0.404,137.269,4
spotify:track:782o0r4xyi4AT80VlZmS0P,"Green Finch and Linnet Bird","Sweeney Todd: The Demon Barber of Fleet Street (Original Broadway Cast Recording)","Stephen Sondheim;Sarah Rice;Original Broadway Cast of Sweeney Todd: The Demon Barber of Fleet Street;Paul Gemignani",1979,149226,28,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:19:55Z,"musicals","Masterworks Broadway",0.358,0.25,10,-15.972,1,0.0405,0.934,0.00524,0.148,0.0848,114.696,4
spotify:track:2vhJArk40tSln0qO0DkIkf,"Ah, Miss","Sweeney Todd: The Demon Barber of Fleet Street (Original Broadway Cast Recording)","Stephen Sondheim;Sarah Rice;Victor Garber;Merle Louise;Original Broadway Cast of Sweeney Todd: The Demon Barber of Fleet Street;Paul Gemignani",1979,143706,25,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:19:55Z,"musicals","Masterworks Broadway",0.414,0.26,1,-13.218,1,0.079,0.898,0,0.696,0.386,82.329,5
spotify:track:1mglqKLKJ9wRUQmoWxyb5m,"Johanna","Sweeney Todd: The Demon Barber of Fleet Street (Original Broadway Cast Recording)","Stephen Sondheim;Victor Garber;Original Broadway Cast of Sweeney Todd: The Demon Barber of Fleet Street;Paul Gemignani",1979,117320,33,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:19:55Z,"musicals","Masterworks Broadway",0.23,0.35,3,-10.713,1,0.0349,0.742,0.0000192,0.0726,0.235,79.653,5
