Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6fyzsHCwnt8oL4XgGIMrdN,"Potential Breakup Song","Potential Breakup Song","Aly & AJ",2020-12-29,218333,54,true,60727spb0sfh9ijzix1ya4dxi,2024-01-19T18:42:23Z,"","Aly & AJ Music LLC",0.554,0.901,6,-4.139,0,0.0384,0.000493,0.000291,0.0867,0.537,157.987,4
spotify:track:5i7ThJfYLAzp2DyZuFpF6j,"Heart Of Glass (Live from the iHeart Festival)","Heart Of Glass / Midnight Sky","Miley Cyrus",2020-09-29,213671,1,false,60727spb0sfh9ijzix1ya4dxi,2024-01-19T18:45:19Z,"","RCA Records Label",0.58,0.908,4,-5.303,1,0.0341,0.000335,0.0000484,0.087,0.427,115.016,4
spotify:track:2Lhdl74nwwVGOE2Gv35QuK,"Cupid's Chokehold / Breakfast in America","The Papercut Chronicles","Gym Class Heroes",2005-02-22,243773,78,false,60727spb0sfh9ijzix1ya4dxi,2024-01-19T18:47:26Z,"","Decaydance/Fueled By Ramen/ATL",0.72,0.744,1,-6.938,0,0.12,0.237,0,0.255,0.619,78.953,4
spotify:track:6SRsiMl7w1USE4mFqrOhHC,"brutal","SOUR","Olivia Rodrigo",2021-05-21,143746,76,true,60727spb0sfh9ijzix1ya4dxi,2024-01-19T18:48:52Z,"","Olivia Rodrigo PS",0.672,0.526,4,-6.446,1,0.0599,0.0311,0.00000137,0.28,0.28,123.999,4
spotify:track:3FmsKw8ie3KLC5273nH6wD,"Dead Weight","Use Me","PVRIS",2020-08-28,207000,47,false,60727spb0sfh9ijzix1ya4dxi,2024-01-19T18:58:32Z,"","Warner Records",0.599,0.915,4,-2.087,0,0.0664,0.00593,0.00943,0.484,0.59,119.004,4
spotify:track:1TWNKyNQOBfNUkWWs7FooF,"XS","SAWAYAMA","Rina Sawayama",2020-04-17,201060,57,false,60727spb0sfh9ijzix1ya4dxi,2024-01-19T19:04:50Z,"","Dirty Hit",0.635,0.929,2,-3.256,0,0.146,0.0854,0.00000114,0.0822,0.59,117.039,4
spotify:track:7ArllcQI3c3ee43yKFSwBs,"Maggot","Almost Famous","Slutever",2016-03-11,146593,48,true,60727spb0sfh9ijzix1ya4dxi,2024-01-19T19:05:17Z,"riot grrrl,queercore","Slutever",0.309,0.957,0,-6.851,1,0.153,0.000818,0.00000472,0.133,0.132,125.594,4
spotify:track:3xLOD2jhRXA9CVEfNRHt6C,"What Doesn't Kill You Makes You Paranoid","Blame My Ex","The Beaches",2023-09-15,231518,48,true,60727spb0sfh9ijzix1ya4dxi,2024-01-19T19:10:50Z,"","The Beaches",0.42,0.732,4,-4.853,1,0.0374,0.00398,0,0.356,0.627,57.966,4
spotify:track:02b5L9jExmkRTdUTqXFzmR,"Primadonna","Electra Heart","MARINA",2012-04-27,221075,41,false,60727spb0sfh9ijzix1ya4dxi,2024-01-19T19:11:35Z,"","Atlantic Records UK",0.66,0.689,4,-2.671,0,0.0337,0.0884,0,0.0922,0.427,127.98,4
spotify:track:32fSZSbxeVoiZShMQKLc6Z,"My Kink Is Karma","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-22,222578,69,false,60727spb0sfh9ijzix1ya4dxi,2024-01-19T19:13:09Z,"","Chappell Roan PS/ Island",0.555,0.599,2,-5.695,1,0.052,0.00925,0,0.102,0.415,86.727,4
spotify:track:7yBjQ29XKxHlxuqycHuvmm,"Wet","Maggot","Dazey and the Scouts",2017-04-13,171575,72,false,60727spb0sfh9ijzix1ya4dxi,2024-01-19T19:17:06Z,"riot grrrl,queercore","16 Entertainment LLC, under exclusive license from Dazey and The Scouts",0.509,0.922,9,-5.597,0,0.0524,0.0167,0.0000126,0.712,0.649,95.921,4
spotify:track:2uvTqA4hY5Tsqgeu6iTTO2,"Freaking Out","Infinitely Ordinary","The Wrecks",2020-05-01,199840,47,false,60727spb0sfh9ijzix1ya4dxi,2024-01-19T19:28:10Z,"","Big Noise Music Group",0.549,0.865,1,-3.486,0,0.0625,0.000482,0,0.0512,0.434,140.017,4
spotify:track:7szBZqBJuj9eAC8HJ4CyTM,"That I Miss You","That I Miss You","Vansire",2018-07-17,140116,56,false,60727spb0sfh9ijzix1ya4dxi,2024-01-22T16:24:06Z,"bedroom pop","Vansire",0.779,0.572,4,-9.259,1,0.0396,0.306,0.739,0.106,0.967,114.994,4
spotify:track:3jjsRKEsF42ccXf8kWR3nu,"Washing Machine Heart","Be the Cowboy","Mitski",2018-08-17,128198,83,false,60727spb0sfh9ijzix1ya4dxi,2024-01-22T16:24:14Z,"","Dead Oceans",0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,4
spotify:track:6BJHsLiE47Sk0wQkuppqhr,"From the Start","From the Start","Good Kid",2023-11-10,150047,76,false,60727spb0sfh9ijzix1ya4dxi,2024-01-22T16:24:22Z,"","Good People Record Co.",0.573,0.803,1,-4.142,1,0.0451,0.0225,0,0.0841,0.638,92.909,4
spotify:track:1kT0mt9AstPDGUJCNiQI0T,"It Only Cost Everything","It Only Cost Everything","Victor Ray",2023-07-21,148146,58,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:49:53Z,"","ZOZO Records",0.463,0.336,10,-8.217,0,0.044,0.705,0,0.0905,0.589,138.702,3
