Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3hqXUcu06ajELPBS3uhCD1,"Summer Lovin'","Summer Lovin'","The Tuesday Crew",2018-06-22,241243,43,false,60727spb0sfh9ijzix1ya4dxi,2022-06-24T01:12:18Z,"","The Tuesday Crew",0.796,0.331,0,-9.903,1,0.0521,0.194,0,0.159,0.632,137.968,4
spotify:track:1tNJrcVe6gwLEiZCtprs1u,"3 Nights","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,177666,72,false,60727spb0sfh9ijzix1ya4dxi,2022-06-24T04:48:35Z,"","Columbia",0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,4
spotify:track:3I8yVFjvJoOBM9tX4ZpxEL,"Ryd","Steve Lacy's Demo","Steve Lacy",2017-02-24,140182,0,false,60727spb0sfh9ijzix1ya4dxi,2022-06-25T23:17:12Z,"","Three Quarter",0.784,0.94,9,-7.327,0,0.054,0.0716,0.000171,0.133,0.979,137.003,4
spotify:track:0rKtyWc8bvkriBthvHKY8d,"SLOW DANCING IN THE DARK","BALLADS 1","Joji",2018-10-26,209273,5,true,60727spb0sfh9ijzix1ya4dxi,2022-06-25T23:17:20Z,"","88rising Music/Warner Records",0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,4
spotify:track:6xGruZOHLs39ZbVccQTuPZ,"Glimpse of Us","Glimpse of Us","Joji",2022-06-10,233456,7,false,60727spb0sfh9ijzix1ya4dxi,2022-06-25T23:17:25Z,"","88rising Music/Warner Records",0.44,0.317,8,-9.258,1,0.0531,0.891,0.00000478,0.141,0.268,169.914,3
spotify:track:2RxC2peY3FtrurYmbbmanr,"Qué Maldición","Qué Maldición","Banda MS de Sergio Lizárraga;Snoop Dogg",2020-05-01,203360,0,false,60727spb0sfh9ijzix1ya4dxi,2022-06-25T23:17:30Z,"banda,norteño,grupera,música mexicana,ranchera,corrido,g-funk,west coast hip hop,gangster rap,old school hip hop,hip hop,rap","2020 Lizos Music",0.755,0.531,9,-8.051,0,0.196,0.213,0,0.13,0.683,177.951,4
spotify:track:3oX7VxSz6EHHnxKGUjk9sx,"Let You Break My Heart Again","Let You Break My Heart Again","Laufey;Philharmonia Orchestra",2021-08-13,269066,0,false,60727spb0sfh9ijzix1ya4dxi,2022-06-25T23:17:41Z,"opera,classical,orchestral","Laufey",0.26,0.144,2,-15.126,1,0.036,0.965,0.113,0.111,0.127,80.428,4
spotify:track:7nF74JcG12aaD8lV9SJVTu,"Best Tears","Concentrate","The Happy Fits",2018-06-15,158533,0,false,60727spb0sfh9ijzix1ya4dxi,2022-06-25T23:17:57Z,"","The Happy Fits Records",0.415,0.702,2,-3.73,1,0.04,0.109,0,0.119,0.68,129.683,4
spotify:track:2zgpMaaXfVJqUJoMbjmfH2,"Fire Flower","Favorite Holiday, Vol. 1","Summer Salt",2019-12-24,250800,20,false,60727spb0sfh9ijzix1ya4dxi,2022-06-25T23:18:15Z,"","Cherry Lime Records",0.612,0.511,3,-11.852,0,0.0283,0.384,0.121,0.42,0.333,101.998,4
spotify:track:0dAY4aJFw74le3PMh3wOHC,"Jaigantic - Galimatias Remix","Jaigantic (Galimatias Remix)","Tora",2014-12-16,179998,37,false,60727spb0sfh9ijzix1ya4dxi,2022-06-25T23:18:20Z,"indie soul","Nuine Records",0.642,0.539,5,-6.859,1,0.0438,0.103,0,0.35,0.476,130.021,4
spotify:track:13O36COxxWjcvc9r5Zsd1P,"Puppy Dog","Puppy Dog","Dreamer Boy",2019-12-10,210281,42,true,60727spb0sfh9ijzix1ya4dxi,2022-06-25T23:18:41Z,"bedroom pop","slowplay/Harvest Records",0.689,0.545,7,-8.289,1,0.0377,0.173,0.000049,0.347,0.509,113.997,4
spotify:track:0mQzUwqvLv1iwR31O0fYVC,"Good Look","Good Look","Lasse Lyx",2020-07-31,196288,33,false,60727spb0sfh9ijzix1ya4dxi,2022-06-25T23:18:50Z,"","Epidemic Sound",0.86,0.642,2,-7.291,0,0.0395,0.138,0.00189,0.15,0.95,123,4
spotify:track:7uoFMmxln0GPXQ0AcCBXRq,"Snowman","Everyday Is Christmas (Deluxe Edition)","Sia",2018-11-01,165900,93,false,60727spb0sfh9ijzix1ya4dxi,2022-06-25T23:19:49Z,"","Monkey Puzzle/Atlantic",0.717,0.524,1,-6.222,1,0.0331,0.426,0,0.0932,0.339,104.953,3
