Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:71CCma0Q3MLSYAPdVZ3iV5,"Brenda Stubbert's Reel","Dear Irish Boy","Murphy's Lágh",2007-01-01,180840,0,false,mdskurat97,2020-12-16T12:27:28Z,"","Murphy's Lágh / Murphy's lagh",0.433,0.691,2,-7.173,1,0.0399,0.598,0.735,0.0519,0.504,129.392,4
spotify:track:4lDpRYXsO4m79iIGl7RZx5,"Castle Kelly (Arr. C. Norman)","Reel of Tulloch","Traditional;Chris Norman;Chatham Baroque",2001-01-01,64440,0,false,mdskurat97,2020-12-16T12:28:50Z,"bhajan,early music,gregorian chant,devotional,celtic,baroque,chamber music,renaissance","Sono Luminus",0.313,0.175,8,-18.827,0,0.0635,0.957,0.0000156,0.275,0.912,180.535,4
spotify:track:3PfMFfRulr7rNkpyUlgKwx,"Cooley's Reel / The Dawn / The Mullingar Races","St. Patrick's Day Celebration","The Dubliners",2011-03-11,205546,25,false,mdskurat97,2020-12-16T12:29:10Z,"celtic,celtic rock,sea shanties,celtic punk,folk","Arran Records",0.385,0.698,5,-10.203,0,0.0443,0.305,0.971,0.131,0.769,116.014,4
spotify:track:69qzUP6hCiGDunIwEjAVhN,"Drowsy Maggie","Celtic Music Collection: Irish Jigs, Irish Reels, Irish Laments and More","Celtic Music Voyages",2009-03-27,63373,25,false,mdskurat97,2020-12-16T12:29:50Z,"celtic","Celtic Music Voyages",0.677,0.523,6,-11.919,0,0.0389,0.846,0.854,0.209,0.98,98.998,4
spotify:track:53uDjuG5HPABGmfBT0XEcg,"Farewell to Erin","Old Hag You Have Killed Me","The Bothy Band",1976,201320,23,false,mdskurat97,2020-12-16T12:30:57Z,"celtic,traditional folk,celtic rock,folk","Mulligan Records",0.59,0.518,4,-12.542,0,0.0869,0.916,0.0589,0.203,0.924,119.094,4
spotify:track:6r4MASuIFXiXA4LibEMA9J,"Greig’s Pipes","One Hundred Days Away","Traditional;Evergreen Ensemble",2019-06-07,221693,0,false,mdskurat97,2020-12-16T12:31:19Z,"bhajan,early music,gregorian chant,devotional,renaissance","Australian Broadcasting Corp (ABC)",0.273,0.161,4,-15.327,1,0.0461,0.984,0.933,0.229,0.726,75.372,4
spotify:track:2l0gwVsxSeUxN56gbCCgJ0,"Jennie's Chickens","Celtic Texas","Sean Orr",2011-07-25,89480,12,false,mdskurat97,2020-12-16T12:31:43Z,"celtic","Acoustic Mountain",0.606,0.95,11,-4.82,0,0.0459,0.108,0.666,0.302,0.839,100.171,4
spotify:track:4nWfnsMzQrl6RvDGw2G9qy,"Julia Delaney's Reel","Julia Delaney's reel","Evergreen Música Irlandesa",2020-02-08,148703,30,false,mdskurat97,2020-12-16T12:32:17Z,"celtic,traditional music,medieval","Evergreen Música Irlandesa",0.764,0.519,0,-12.271,1,0.0712,0.365,0.263,0.0938,0.79,109.969,4
spotify:track:5hIU6cp8YTRIgjzcdr9Umg,"Miss McLeod's Reel","The Passion of Musick","Traditional;Dorothee Oberlinger",2014-11-28,122856,15,false,mdskurat97,2020-12-16T12:32:40Z,"bhajan,early music,gregorian chant,devotional,baroque,chamber music","Deutsche Harmonia Mundi",0.49,0.599,7,-14.023,1,0.0429,0.614,0.0593,0.176,0.364,105.529,4
spotify:track:0zveUvRU7KPYhFTPbtL0sV,"Music for a Found Harmonium","Music for a Found Harmonium","The Lubben Brothers",2020-09-18,301840,15,false,mdskurat97,2020-12-16T12:33:34Z,"indie folk","The Lubben Brothers",0.417,0.616,2,-9.799,1,0.0409,0.367,0.549,0.0933,0.733,112.358,4
spotify:track:7gtNfrqTtmOFTSWIjmlRdf,"Over the Moor to Maggie","Drive & Lift","Andrew Finn Magill",2005-01-01,224453,15,false,mdskurat97,2020-12-16T12:34:49Z,"celtic","Andrew Magill",0.511,0.262,7,-12.266,1,0.0809,0.882,0.0000843,0.113,0.785,108.569,4
