Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4YxVLld6OARRiAj8nrwUZW,"Concerto for 2 Violins, Strings, and Continuo in D minor, BWV 1043: 1. Vivace","Bach, J.S.: Violin Concertos; Double Concertos","Johann Sebastian Bach;Arthur Grumiaux;Herman Krebbers;Les Solistes Romands;Arpad Gérecz",1980-01-01,241013,0,false,sinfinimusic,2020-01-20T17:00:10Z,"classical,baroque,classical piano,concerto,chamber music","Universal Music Group",0.58,0.398,2,-14.862,0,0.0683,0.922,0.0000547,0.305,0.814,93.895,4
spotify:track:1rNrxdXr2MAUp7GBHSY8ti,"Concerto for 2 Violins, Strings, and Continuo in D minor, BWV 1043: 3. Allegro","Bach, J.S.: Violin Concertos; Double Concertos","Johann Sebastian Bach;Arthur Grumiaux;Herman Krebbers;Les Solistes Romands;Arpad Gérecz",1980-01-01,298000,0,false,sinfinimusic,2020-01-20T17:00:10Z,"classical,baroque,classical piano,concerto,chamber music","Universal Music Group",0.591,0.337,7,-15.797,0,0.0471,0.914,0.00204,0.151,0.819,95.891,3
spotify:track:2EzKwI3r1sdCRw3lL3imfJ,"Violin Concerto In E Minor, Op. 64, MWV O14: III. Allegretto non troppo - Allegro molto vivace","Mendelssohn: Violin Concerto Op.64; Piano Trio Op.49; Violin Sonata in F major (1838)","Felix Mendelssohn;Anne-Sophie Mutter;Gewandhausorchester;Kurt Masur",2008-01-01,374760,19,false,sinfinimusic,2020-01-20T17:00:10Z,"chamber music,classical,classical piano,concerto,choral,orchestral","Deutsche Grammophon (DG)",0.329,0.158,4,-22.225,1,0.0484,0.923,0.153,0.17,0.371,81.453,4
spotify:track:68E7UHatraGxsTXbB56XPY,"Violin Concerto In E Minor, Op. 64, MWV O14: II. Andante","Mendelssohn: Violin Concerto Op.64; Piano Trio Op.49; Violin Sonata in F major (1838)","Felix Mendelssohn;Anne-Sophie Mutter;Gewandhausorchester;Kurt Masur",2008-01-01,434866,29,false,sinfinimusic,2020-01-20T17:00:10Z,"chamber music,classical,classical piano,concerto,choral,orchestral","Deutsche Grammophon (DG)",0.209,0.0597,0,-27.115,1,0.0459,0.887,0.0616,0.0704,0.0398,103.276,3
spotify:track:3dfua4iLXX9SpZcmsIaaOH,"Violin Concerto No. 3 in G Major, K. 216: III. Rondo (Allegro)","Mozart: The Violin Concertos; Sinfonia Concertante","Wolfgang Amadeus Mozart;Anne-Sophie Mutter;London Philharmonic Orchestra",2005-01-01,380466,26,false,sinfinimusic,2020-01-20T17:00:10Z,"classical,opera,classical piano,chamber music,concerto,orchestral","Deutsche Grammophon (DG)",0.461,0.0991,7,-20.152,1,0.0469,0.965,0.719,0.114,0.313,122.286,4
spotify:track:24mj4jGIDqNkVIwy5hzo6w,"Concerto for 2 Violins, Strings, and Continuo in D minor, BWV 1043: 2. Largo ma non tanto","Bach, J.S.: Violin Concertos; Double Concertos","Johann Sebastian Bach;Arthur Grumiaux;Herman Krebbers;Les Solistes Romands;Arpad Gérecz",1980-01-01,401986,0,false,sinfinimusic,2020-01-20T17:00:10Z,"classical,baroque,classical piano,concerto,chamber music","Universal Music Group",0.196,0.142,5,-22.129,1,0.0446,0.872,0.0561,0.164,0.184,90.2,3
spotify:track:5fmkMgmGET9RfYsQG32JL0,"Violin Concerto No.1 In A Minor, Op.99 (Formerly Op.77): 4. Burlesque (Allegro con brio - Presto)","Shostakovich: Violin Concerto No.1; Glazunov: Violin Concerto","Dmitri Shostakovich;Nicola Benedetti;Bournemouth Symphony Orchestra;Kirill Karabits",2016-07-01,293226,0,false,sinfinimusic,2020-01-20T17:00:10Z,"classical,chamber music,orchestral,choral,concerto","Universal Music Group",0.517,0.431,7,-14.633,0,0.0527,0.913,0.856,0.0919,0.536,80.136,4
spotify:track:1GeKcbYTOpQWo53rr6A8t3,"Concerto for Violin & Orchestra, Op.14: 3. Presto in moto perpetuo","Barber: Violin Concerto / Korngold: Violin Concerto; Much Ado About Nothing","Samuel Barber;Gil Shaham;London Symphony Orchestra;André Previn",1994-01-01,229000,0,false,sinfinimusic,2020-01-20T17:00:10Z,"classical,concerto,chamber music,orchestral,ballet,opera","Universal Music Group",0.393,0.497,9,-16.484,0,0.0367,0.91,0.813,0.216,0.652,96.918,4
spotify:track:0yLiVvn2lASuRxJBbQHlGE,"Violin Concerto in D, Op. 77: 3. Allegro giocoso, ma non troppo vivace - Poco più presto","Brahms: Violin Concerto; Hungarian Dances; Bartók: Rhapsodies","Johannes Brahms;Leonidas Kavakos;Gewandhausorchester;Riccardo Chailly",2013-01-01,484306,9,false,sinfinimusic,2020-01-20T17:00:10Z,"classical,classical piano,chamber music,orchestral,concerto,opera","Decca Music Group Ltd.",0.464,0.247,2,-14.696,1,0.0466,0.919,0.614,0.111,0.344,91.173,4
spotify:track:10xDhUbK4gBQiw7S1kPWVJ,"Violin Concerto In D Opus 35: II Canzonetta - Andante","Tchaikovsky-Bruch Violin Concertos","Pyotr Ilyich Tchaikovsky;Nicola Benedetti;Jakub Hrůša;Czech Philharmonic",2010-01-01,391853,0,false,sinfinimusic,2020-01-20T17:00:10Z,"ballet,classical,orchestral,concerto,classical crossover","Universal Music Group",0.12,0.0278,3,-28.285,1,0.0544,0.983,0.604,0.0675,0.0369,66.958,4
spotify:track:2aapVsnqPkQbJ3RqeIjkUR,"Violin Concerto In D, Op. 61: 2. Larghetto -","Beethoven: Violin Concerto; ""Kreutzer"" Sonata","Ludwig van Beethoven;Vadim Repin;Wiener Philharmoniker;Riccardo Muti",2007-01-01,601000,37,false,sinfinimusic,2020-01-20T17:00:10Z,"classical,classical piano,chamber music,concerto,opera,orchestral","Deutsche Grammophon (DG)",0.111,0.0275,7,-31.471,1,0.0544,0.806,0.00738,0.11,0.0378,74.22,4
spotify:track:66hvITACAbv34aYv8ZcxYp,"Violin Concerto In D, Op. 61: 3. Rondo (Allegro)","Beethoven: Violin Concerto; ""Kreutzer"" Sonata","Ludwig van Beethoven;Fritz Kreisler;Vadim Repin;Wiener Philharmoniker;Riccardo Muti",2007-01-01,619386,26,false,sinfinimusic,2020-01-20T17:00:10Z,"classical,classical piano,chamber music,concerto,opera,orchestral","Deutsche Grammophon (DG)",0.418,0.0731,2,-20.28,1,0.0456,0.925,0.262,0.0966,0.24,129.239,1
spotify:track:1nIkNd3q07zghF54yEFX1e,"Violin Concerto No.1 in G minor, Op.26: 3. Finale (Allegro energico)","Bruch: Violin Concerto No.1 / Mendelssohn: Violin Concerto","Max Bruch;Joshua Bell;Academy of St. Martin in the Fields;Sir Neville Marriner",1988-01-01,452173,0,false,sinfinimusic,2020-01-20T17:00:10Z,"concerto,classical,baroque,chamber music,orchestral","Universal Music Group",0.367,0.182,7,-15.321,1,0.0413,0.942,0.253,0.0528,0.278,93.519,4
spotify:track:4vXR5jMcgBD2guSYfP08F7,"Violin Concerto No.1 in G minor, Op.26: 2. Adagio","Bruch: Violin Concerto No.1 / Mendelssohn: Violin Concerto","Max Bruch;Joshua Bell;Academy of St. Martin in the Fields;Sir Neville Marriner",1988-01-01,560750,0,false,sinfinimusic,2020-01-20T17:00:10Z,"concerto,classical,baroque,chamber music,orchestral","Universal Music Group",0.159,0.0819,3,-22.594,1,0.0445,0.944,0.157,0.126,0.0397,97.276,4
spotify:track:6fZeyr3bp1QNrkxgPF238r,"Violin Concerto No.2 In B Minor, Op.7, MS.48: 2. Adagio","Paganini: Violin Concertos Nos.1 & 2","Niccolò Paganini;Salvatore Accardo;London Philharmonic Orchestra;Charles Dutoit",1986-01-01,430306,0,false,sinfinimusic,2020-01-20T17:00:10Z,"classical,concerto,baroque,opera,orchestral,impressionism","Universal Music Group",0.232,0.0348,2,-27.5,1,0.0456,0.882,0.0148,0.102,0.0944,97.063,4
spotify:track:3f5kvHAeJ7JURRcWW7PZwg,"Violin Concerto No.1 in G minor, Op.26: 1. Vorspiel (Allegro moderato)","Bruch: Violin Concerto No.1 / Mendelssohn: Violin Concerto","Max Bruch;Joshua Bell;Academy of St. Martin in the Fields;Sir Neville Marriner",1988-01-01,524640,0,false,sinfinimusic,2020-01-20T17:00:10Z,"concerto,classical,baroque,chamber music,orchestral","Universal Music Group",0.261,0.129,3,-18.432,1,0.0408,0.937,0.436,0.129,0.0662,84.81,4
