Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6ZeUf3BNlHxaOnXNGxoxPm,"Perfect Man","Out Of The Game","Rufus Wainwright",2012-01-01,238373,14,false,60727spb0sfh9ijzix1ya4dxi,2024-11-15T13:43:47Z,"singer-songwriter","Verve (Adult Contemporary)",0.559,0.665,0,-6.451,1,0.0305,0.0171,0,0.11,0.403,122.635,4
spotify:track:6TlkRvPjRQo5VZqIfM0MjA,"Doctor's Orders","The Carol Douglas Album","Carol Douglas",1975-01-01,270533,46,false,60727spb0sfh9ijzix1ya4dxi,2024-11-15T13:43:55Z,"disco","UNIDISC MUSIC INC.",0.662,0.636,0,-14.2,1,0.0336,0.0679,0.737,0.0891,0.963,125.845,4
spotify:track:7jay75cMfpEIyIkkvmemYr,"Dorothy","Songs of Her's","Her's",2017-05-12,246230,58,false,60727spb0sfh9ijzix1ya4dxi,2024-11-15T13:44:22Z,"indie","Heist Or Hit Records",0.518,0.899,1,-4.148,0,0.0384,0.0383,0.903,0.106,0.912,145.04,4
spotify:track:1Hv1VTm8zeOeybub15mA2R,"Smooth Operator - Single Version","The Best of Sade","Sade",1994-10-31,258693,83,false,60727spb0sfh9ijzix1ya4dxi,2024-11-15T13:44:28Z,"","Epic",0.734,0.58,9,-6.619,0,0.0321,0.238,0.0006,0.0298,0.962,119.336,4
spotify:track:6PUPRb62MyZo6MRlEQZKFq,"Dusk","Glow","Alice Phoebe Lou",2021-03-19,171890,29,false,60727spb0sfh9ijzix1ya4dxi,2024-11-15T13:44:32Z,"","Alice Phoebe Lou",0.852,0.3,9,-6.742,0,0.0713,0.194,0.0259,0.112,0.575,94.006,4
spotify:track:2t7qSoAZLrYWzWrjhDBhE4,"Big Time","Planet Pearl","Pearl & The Oysters",2024-09-20,226514,25,false,60727spb0sfh9ijzix1ya4dxi,2024-11-15T13:44:55Z,"","Stones Throw Records",0.827,0.489,2,-8.039,0,0.0377,0.0636,0.0000506,0.103,0.415,111.031,4
spotify:track:6tbVBf585gLKnjUWCsZtR5,"no words 1 & 2","ceremonial contrafact (empathogen deluxe)","WILLOW",2024-09-27,84533,29,false,60727spb0sfh9ijzix1ya4dxi,2024-11-15T13:45:06Z,"","Three Six Zero Recordings",0.55,0.536,11,-9.279,1,0.0758,0.655,0.141,0.133,0.54,114.599,4
spotify:track:1H39jAnukCwKGyYe1Azy9Y,"Wall St","Wall St","Boys Go To Jupiter",2023-12-01,233025,0,false,60727spb0sfh9ijzix1ya4dxi,2024-11-15T13:48:38Z,"","nice music idiot",0.444,0.766,5,-5.885,1,0.203,0.155,0.00000277,0.821,0.692,124.904,4
spotify:track:54Aa3U7MwohGZz56LMi0Ng,"All That’s Left of Me Is You","Schvitz","Vulfpeck;Theo Katzman",2022-12-30,172607,37,false,60727spb0sfh9ijzix1ya4dxi,2024-11-15T13:49:38Z,"funk,funk rock,retro soul","Vulf Records",0.644,0.389,6,-9.137,1,0.0279,0.208,0.000793,0.12,0.811,83.748,4
spotify:track:6AQMkpCxZ2Fu7CM48vDSQt,"Pretty Girl","Bonafide","Jon B.",1995-05-19,257613,42,false,60727spb0sfh9ijzix1ya4dxi,2024-11-15T13:49:59Z,"r&b,quiet storm","Yab Yum Records/550 Music/Epic",0.697,0.504,0,-9.753,1,0.0339,0.349,0,0.342,0.618,93.028,4
spotify:track:5oUlEkEwz9eaxaFbtajKqu,"Maybe It's You","Maybe It's You","Pump Action",2023-03-03,233750,47,false,60727spb0sfh9ijzix1ya4dxi,2024-11-17T12:25:49Z,"","Castle Records",0.677,0.58,4,-9.322,1,0.041,0.165,0.000206,0.0875,0.753,82.995,4
spotify:track:4wttBp40dmDDdiud3Nz7QW,"To Be Loved","To Survive","Joan As Police Woman",2008,183493,12,false,60727spb0sfh9ijzix1ya4dxi,2024-11-18T13:32:33Z,"","Reveal Records",0.564,0.446,5,-7.183,1,0.0291,0.741,0.000769,0.091,0.481,74.226,4
spotify:track:4V7Y0ZpoIce7nh0D9GqkuI,"Too Hot In L.A. - Vulfmix","Dot","Vulfmon;Woody and Jeremy",2024-07-23,235205,39,false,60727spb0sfh9ijzix1ya4dxi,2024-11-25T15:04:58Z,"","Vulf Records",0.878,0.561,6,-8.3,0,0.046,0.0218,0.0305,0.0863,0.869,106.994,4
spotify:track:2cu8qpB68Sv0E1zVQCcpYw,"Going To A Town","Vibrate: The Best Of","Rufus Wainwright",2014-01-01,247013,18,false,60727spb0sfh9ijzix1ya4dxi,2024-11-18T17:42:36Z,"singer-songwriter","Geffen",0.546,0.467,5,-7.263,0,0.0334,0.693,0.00000341,0.334,0.206,124.116,4
spotify:track:403vzOZN0tETDpvFipkNIL,"Sisyphus","My Finest Work Yet","Andrew Bird",2019-03-22,247493,60,false,60727spb0sfh9ijzix1ya4dxi,2024-11-18T17:46:17Z,"baroque pop,indie folk","Loma Vista Recordings",0.631,0.792,0,-4.364,0,0.0427,0.23,0.000317,0.0756,0.462,82.901,4
spotify:track:3RSpK5Y0y5tl25qvssrwJ6,"My All","Butterfly","Mariah Carey",1997-09-16,230933,77,false,60727spb0sfh9ijzix1ya4dxi,2024-11-20T14:13:09Z,"christmas","Columbia",0.607,0.317,7,-10.244,0,0.029,0.732,0.0000453,0.086,0.111,108.122,4
spotify:track:600TwtWzMtu8algRtMrzMU,"Dropout","Songs About You Specifically","MICHELLE",2024-09-27,164146,39,false,60727spb0sfh9ijzix1ya4dxi,2024-11-20T15:08:17Z,"bedroom pop","Atlantic Records",0.789,0.9,5,-5.423,0,0.0642,0.204,0.146,0.0807,0.702,87.984,4
spotify:track:0DXZHcAQAkXx8YlMIdzqgG,"Be My Own Boyfriend","Be My Own Boyfriend","Olivia Dean",2021-04-16,207960,73,true,60727spb0sfh9ijzix1ya4dxi,2024-11-22T00:52:02Z,"pop soul","AMF Records",0.69,0.435,8,-8.482,1,0.0397,0.696,0.118,0.0946,0.403,122.059,4
spotify:track:4pIuBDAmqQVoOyt0tHImZe,"Kygers Hill","Imaginary People","Viv & Riley",2023-09-15,216200,0,false,60727spb0sfh9ijzix1ya4dxi,2024-11-22T13:53:49Z,"americana","Free Dirt Records",0.654,0.624,11,-6.584,1,0.0288,0.23,0.000379,0.0733,0.444,128.998,4
spotify:track:01CMi6BTasSxDv2sSDqv6q,"Tell Me How","Tell Me How","Tokyo Tea Room",2024-08-29,197389,36,false,60727spb0sfh9ijzix1ya4dxi,2024-11-22T15:14:43Z,"dream pop","Nice Guys",0.693,0.366,11,-9.102,0,0.0419,0.938,0.816,0.106,0.505,159.964,4
spotify:track:7kmJjI3BY9SNdLrLXU7gJ3,"Bus Station Poetry","Bus Station Poetry","Dot.;Chirag Todi",2024-07-05,220714,23,false,60727spb0sfh9ijzix1ya4dxi,2024-11-22T15:50:02Z,"indian indie,hindi indie","Dot.",0.681,0.26,0,-13.795,0,0.038,0.936,0.0286,0.0963,0.209,111.955,3
spotify:track:3oNqCsniVqTR6h6hfVC3Fj,"Scholar's Mate","Scholar's Mate","Sure Sure;Beachy Keys",2024-07-12,153079,12,false,60727spb0sfh9ijzix1ya4dxi,2024-11-22T16:08:43Z,"","Sure Sure Records",0.63,0.391,8,-7.784,0,0.0266,0.463,0.000178,0.16,0.628,88.976,4
spotify:track:7fW6Jfqg76CabIAjr437at,"These Days","Orion","Orion Sun",2024-09-20,194800,26,false,60727spb0sfh9ijzix1ya4dxi,2024-11-22T16:54:26Z,"alternative r&b,bedroom pop","Mom+Pop",0.341,0.355,2,-10.496,1,0.0431,0.878,0,0.106,0.427,66.264,3
spotify:track:4S5c5as5UkWyCCiV0dGIWt,"I Would Let You","When a Thought Grows Wings","Luna Li",2024-08-23,261721,32,false,60727spb0sfh9ijzix1ya4dxi,2024-11-22T21:13:50Z,"","In Real Life Music",0.53,0.467,0,-7.2,1,0.0256,0.0553,0.00364,0.125,0.4,130.054,4
spotify:track:0RgjEkSbeuStKfT2Pa4Zai,"reincarnated","GNX","Kendrick Lamar",2024-11-22,275740,71,true,60727spb0sfh9ijzix1ya4dxi,2024-11-23T03:22:14Z,"hip hop,west coast hip hop","pgLang, under exclusive license to Interscope Records",0.846,0.779,7,-5.363,1,0.254,0.0534,0,0.299,0.748,91.118,4
spotify:track:4K1Pg0FLno1ltzX3jeqT83,"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)","GNX","Kendrick Lamar;Wallie the Sensei;Siete7x;Roddy Ricch",2024-11-22,131240,71,true,60727spb0sfh9ijzix1ya4dxi,2024-11-23T03:28:16Z,"hip hop,west coast hip hop,melodic rap","pgLang, under exclusive license to Interscope Records",0.796,0.536,6,-7.93,1,0.109,0.0552,0,0.112,0.662,83.492,4
spotify:track:5e0b9LgOfi3aJSKXFcOWRe,"Beanie","Beanie","Chezile",2023-11-28,132160,84,false,60727spb0sfh9ijzix1ya4dxi,2024-11-23T04:19:58Z,"","Chezile / 10K Projects",0.531,0.556,5,-6.245,1,0.0252,0.407,0.00915,0.318,0.156,138.978,3
spotify:track:1SGvjfc85yzqKXsfKcCxn2,"heart pt. 6","GNX","Kendrick Lamar",2024-11-22,292461,72,true,60727spb0sfh9ijzix1ya4dxi,2024-11-23T14:03:41Z,"hip hop,west coast hip hop","pgLang, under exclusive license to Interscope Records",0.704,0.647,9,-7.664,1,0.325,0.27,0,0.109,0.585,80.998,4
spotify:track:3bKtDan6gEZP6l0hCWKUMs,"Will You","Vivian Leva & Riley Calcagno","Viv & Riley",2021-03-12,198026,0,false,60727spb0sfh9ijzix1ya4dxi,2024-11-25T14:39:34Z,"americana","Free Dirt Records",0.419,0.41,1,-8.898,1,0.0334,0.873,0.029,0.136,0.205,79.291,4
spotify:track:6tAHoWuZoM6QprTo61SBne,"Got To Be Mine","Dot","Vulfmon;Evangeline",2024-07-23,188114,54,false,60727spb0sfh9ijzix1ya4dxi,2024-11-25T14:40:07Z,"","Vulf Records",0.791,0.758,7,-7.323,1,0.0527,0.217,0.022,0.349,0.888,96.146,4
spotify:track:0yin14PPCxLBorpVqlON8V,"Disco Snails","Dot","Vulfmon;Zachary Barker",2024-07-23,193240,53,false,60727spb0sfh9ijzix1ya4dxi,2024-11-25T15:11:42Z,"","Vulf Records",0.94,0.705,2,-6.1,1,0.0952,0.063,0.0000301,0.774,0.863,124.992,4
spotify:track:34qgP5Oq0ckIvIF00oQ3Lb,"Hit The Target - Vulfmix","Dot","Vulfmon;Eddie Barbash",2024-07-23,168477,32,false,60727spb0sfh9ijzix1ya4dxi,2024-11-25T15:14:59Z,"","Vulf Records",0.746,0.663,10,-7.12,1,0.115,0.0559,0.0593,0.102,0.717,120.563,4
spotify:track:56DxR1jHbX6xlGwZdUuN0v,"Reason To Stay","Ok Love You Bye","Olivia Dean",2019-11-22,198813,77,false,60727spb0sfh9ijzix1ya4dxi,2024-11-25T16:25:03Z,"pop soul","AMF Records",0.696,0.626,6,-5.23,0,0.0582,0.128,0,0.172,0.528,137.929,4
spotify:track:3BNHpCcu9BaL43SjLIi8o9,"Kenni and the Jets","Tailwinds","The Fearless Flyers",2020-07-24,249295,40,false,60727spb0sfh9ijzix1ya4dxi,2024-11-29T15:36:23Z,"funk,jazz funk,jazz fusion,funk rock","Vulf Records",0.793,0.463,0,-10.027,1,0.068,0.0104,0.734,0.0689,0.794,127.265,4
spotify:track:20psEW5Bj01kknhdXejOPl,"Loose Tongue","Loose Tongue","The Guest List",2024-10-10,147072,38,false,60727spb0sfh9ijzix1ya4dxi,2024-11-29T20:53:12Z,"","Spinnaker Promotions",0.546,0.809,6,-7.493,0,0.035,0.000145,0.0111,0.434,0.678,128.021,4
spotify:track:6FutvBsO4b2wIC4xLiLWfs,"Snows","Snows","Joseon",2024-11-15,160676,36,false,60727spb0sfh9ijzix1ya4dxi,2024-12-05T16:55:52Z,"shoegaze","JOSEON",0.466,0.869,2,-6.755,1,0.0456,0.0261,0.000254,0.276,0.516,139.125,4
spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,"Ain't No Sunshine","Just As I Am","Bill Withers",1971-05-01,126458,84,false,60727spb0sfh9ijzix1ya4dxi,2024-12-14T19:18:16Z,"soul","Columbia/Legacy",0.527,0.415,4,-11.451,0,0.122,0.457,0.0000172,0.117,0.515,78.169,4
spotify:track:4A5FLaZI3Ni5eT0c9fqi8F,"Fire Flies","The Now Now","Gorillaz",2018-06-29,233373,56,false,60727spb0sfh9ijzix1ya4dxi,2024-12-14T19:19:20Z,"","Parlophone UK",0.346,0.511,4,-10.022,0,0.044,0.278,0.0456,0.122,0.212,134.927,3
spotify:track:2nZ33CKRbgpJQJJQKHuGXb,"Plastic Beach (feat. Mick Jones and Paul Simonon)","Plastic Beach","Gorillaz;Mick Jones;Paul Simonon",2010-03-03,227213,69,false,60727spb0sfh9ijzix1ya4dxi,2024-12-14T20:25:09Z,"aor","Parlophone UK",0.537,0.893,0,-5.459,1,0.0893,0.00252,0.0211,0.0636,0.499,183.78,4
spotify:track:3EWaU5exMayFzQMkIfTX7w,"either on or off the drugs","I LAY DOWN MY LIFE FOR YOU","JPEGMAFIA",2024-08-01,140593,64,true,60727spb0sfh9ijzix1ya4dxi,2024-12-14T21:51:35Z,"experimental hip hop,alternative hip hop,experimental","2024 Peggy Under Exclusive License to AWAL Recordings America, Inc.",0.505,0.605,6,-5.564,0,0.191,0.15,0,0.785,0.631,184.473,3
spotify:track:5OotiuR5xoCmLqeq1P8PFn,"Hard Candy Christmas","Hard Candy Christmas","Ralph",2020-11-06,208800,51,false,60727spb0sfh9ijzix1ya4dxi,2024-12-17T01:36:48Z,"","Rich Man Records",0.644,0.586,11,-6.33,1,0.0397,0.593,0,0.0753,0.27,100.056,4
