Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:40Q1BPn4TPv0tEKgsa5kKD,"June","Two, Moonlight","Charlie Burg",2018-07-20,150700,0,false,60727spb0sfh9ijzix1ya4dxi,2020-05-27T23:11:56Z,"","Charlie Burg",0.423,0.304,9,-12.216,1,0.12,0.665,0,0.0953,0.554,178.705,4
spotify:track:2UxjLCoAEfrcGkOpv6SJhQ,"This December","Montgomery Ricky","Ricky Montgomery",2016-04-08,181920,0,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:15:24Z,"","Ricky Montgomery Records",0.658,0.873,9,-4.873,1,0.0504,0.0253,0,0.132,0.891,139.934,4
spotify:track:4vpeKl0vMGdAXpZiQB2Dtd,"White Rabbit","Surrealistic Pillow","Jefferson Airplane",1967,150640,71,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:01:12Z,"psychedelic rock,acid rock","RCA/BMG Heritage",0.551,0.293,2,-12.503,1,0.0272,0.486,0.000273,0.0864,0.322,106.798,4
spotify:track:15j6KDfMDmWBvXtCEESm0v,"Made for Wesley","Trio","Jimmy Rosenberg;Nomy Rosenberg",2004-03-29,199418,32,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:01:16Z,"swing music,french jazz","Hot Club Records",0.58,0.463,7,-10.07,1,0.0339,0.952,0.86,0.0937,0.749,159.982,4
spotify:track:61TvY6ElUmXZRZ4PGn5hXd,"Chega De Saudade","Trio","Jimmy Rosenberg;Nomy Rosenberg",2004-03-29,227395,21,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:01:19Z,"swing music,french jazz","Hot Club Records",0.629,0.532,9,-8.218,1,0.0375,0.924,0.871,0.112,0.647,164.365,4
spotify:track:1U1OeyPu6frcUUrSZ14PjH,"What Did You Mean (When You Said Love)","Modern Johnny Sings: Songs in the Age of Vibe","Theo Katzman",2020-01-10,275986,40,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:01:24Z,"retro soul","Ten Good Songs",0.819,0.44,6,-10.801,1,0.178,0.213,0.0364,0.102,0.814,116.717,4
spotify:track:25xtIqksRfkr3CHwQXWG6D,"Wasso's Waltz - Alternative version","The Alternative","Jimmy Rosenberg;Biréli Lagrène;Angelo DeBarre;Svein Aarbostad",2013-03-18,164706,4,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:01:30Z,"swing music,french jazz,jazz fusion,jazz","Hot Club Records",0.524,0.57,7,-9.428,1,0.042,0.782,0.927,0.116,0.839,124.457,3
spotify:track:6gDjre0iU1dTMyjJkOQqNP,"I Don't Love You Anymore","I Don't Love You Anymore","The Honeysticks",2018-02-09,225415,0,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:01:41Z,"","The Honeysticks",0.684,0.553,2,-8.826,1,0.0392,0.153,0.484,0.164,0.649,120.054,4
spotify:track:4MafcjCchkKwvkJjTpxrAn,"String Quartet No. 5: I. Poco Andantino - Un poco vivo - Tempo Primo - Lento - Allegro vivace - Vivo - Presto","Villa-Lobos, H.: The Complete String Quartets","Heitor Villa-Lobos;Cuarteto Latinoamericano",2009-01-01,357133,0,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:01:47Z,"neoclassical,chamber music,contemporary classical","Sono Luminus",0.375,0.0906,7,-18.977,1,0.0449,0.974,0.367,0.0904,0.208,134.8,4
spotify:track:1DrlLvlYd1FIjNavRm6NdX,"Back Pocket","Thrill of the Arts","Vulfpeck",2015-10-09,181259,62,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:01:59Z,"funk,funk rock","Vulf Records",0.839,0.585,2,-7.737,1,0.153,0.478,0.00278,0.0435,0.89,89.821,4
spotify:track:0q21FNwES2bbtcduB6kjEU,"Dancing in the Moonlight","Dancing in the Moonlight","King Harvest",1973-01-01,181133,76,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:02:05Z,"","Darbo Music LLC",0.657,0.435,10,-15.707,1,0.0552,0.739,0,0.167,0.771,135.975,4
spotify:track:39rHfrVqCX6A55GF7uOZSC,"1612","Fugue State","Vulfpeck",2014-08-26,199639,58,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:02:12Z,"funk,funk rock","Vulf Records",0.678,0.392,0,-11.328,1,0.274,0.177,0.0045,0.0839,0.711,171.276,4
spotify:track:0JcjupySdUvwYNV7DDkbwU,"Rango II","Thrill of the Arts","Vulfpeck",2015-10-09,251366,37,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:02:19Z,"funk,funk rock","Vulf Records",0.761,0.252,0,-11.609,1,0.0452,0.709,0.926,0.199,0.459,76.346,4
spotify:track:1GmtpbNbybW5ZDSqn6v3NO,"Walkies","Thrill of the Arts","Vulfpeck",2015-10-09,63450,34,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:02:22Z,"funk,funk rock","Vulf Records",0.8,0.499,0,-12.82,1,0.0505,0.302,0.899,0.101,0.397,122.953,4
spotify:track:1BWsQm7kOBjK2aSFYg5HQZ,"Shofukan","We Like It Here","Snarky Puppy",2014-02-25,393053,47,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:02:25Z,"jazz fusion,jazz funk,jazz,funk rock,nu jazz","GroundUP Music LLC",0.426,0.754,4,-9.125,0,0.074,0.0642,0.765,0.701,0.228,167.42,4
spotify:track:4NSex17xPuab9EdpPqaox1,"My Heart Is Buried in Venice","Montgomery Ricky","Ricky Montgomery",2016-04-08,184866,0,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:02:55Z,"","Ricky Montgomery Records",0.67,0.413,11,-8.117,1,0.0274,0.441,0.0000868,0.0902,0.144,112.011,3
spotify:track:3bH4HzoZZFq8UpZmI2AMgV,"New Light","New Light","John Mayer",2018-05-10,216014,1,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:03:07Z,"singer-songwriter","Snack Money",0.828,0.689,7,-7.878,1,0.0326,0.325,0.0384,0.0808,0.853,123.931,4
spotify:track:77Y57qRJBvkGCUw9qs0qMg,"In the Blood","The Search for Everything","John Mayer",2017-04-14,244773,58,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:03:18Z,"singer-songwriter","Columbia",0.546,0.655,8,-6.526,1,0.0255,0.386,0.0000104,0.0983,0.518,80.007,4
spotify:track:5KboIqx30dztT6wmEVFn17,"Baby I Don’t Know Oh Oh (feat. Charles Jones)","Mr Finish Line","Vulfpeck;Charles Jones",2017-11-07,208954,43,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:03:28Z,"funk,funk rock","Vulf Records",0.639,0.477,7,-6.144,1,0.055,0.193,0.000148,0.358,0.484,112.737,4
spotify:track:30QNjcM3Q1GnLFIIJjWQL1,"Places We Won't Walk","A Song For Every Moon","Bruno Major",2017-08-31,169410,0,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:03:34Z,"","Bruno Major",0.388,0.0859,7,-16.061,0,0.0472,0.969,0.0000735,0.108,0.19,88.253,3
spotify:track:5By7Pzgl6TMuVJG168VWzS,"Michelle - Remastered 2009","Rubber Soul (Remastered 2009)","The Beatles",1965-12-03,162373,68,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:03:42Z,"classic rock,psychedelic rock","EMI Catalogue",0.578,0.29,5,-12.501,0,0.0341,0.652,0,0.105,0.666,117.403,4
spotify:track:3BQHpFgAp4l80e1XslIjNI,"Yesterday - Remastered 2009","Help! (Remastered)","The Beatles",1965-08-06,125666,77,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:03:45Z,"classic rock,psychedelic rock","EMI Catalogue",0.332,0.179,5,-11.83,1,0.0326,0.879,0,0.0886,0.315,96.524,4
spotify:track:4w9Uex2WJC3QCawt8vLM05,"Junk - Remastered 2011","McCartney (Archive Collection)","Paul McCartney",1970-04-17,115293,40,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:03:49Z,"","Paul McCartney Catalog",0.712,0.0862,9,-17.696,1,0.0325,0.814,0.000259,0.191,0.315,90.666,3
spotify:track:5RXeWHkrfFSaHaUtehoFTW,"Jenny Wren","Chaos And Creation In The Backyard","Paul McCartney",2005-09-12,226720,42,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:04:02Z,"","Paul McCartney Catalog",0.455,0.229,5,-12.297,0,0.0296,0.82,0.00157,0.14,0.367,173.103,4
spotify:track:3Am0IbOxmvlSXro7N5iSfZ,"Strawberry Fields Forever - Remastered 2009","Magical Mystery Tour (Remastered)","The Beatles",1967-11-27,247320,70,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:04:06Z,"classic rock,psychedelic rock","EMI Catalogue",0.39,0.502,10,-12.277,1,0.178,0.336,0.000129,0.0713,0.289,97.873,4
spotify:track:3FrGJ16ee3RS6Ly8n5QL5v,"Shameless","Here We Stand","The Fratellis",2008-01-01,235506,18,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:04:15Z,"","Universal-Island Records Ltd.",0.392,0.942,4,-3.466,1,0.0511,0.0015,0,0.341,0.544,142.954,4
spotify:track:34x5AhvVgbLhebznYRBrSO,"Blue Bossa","Trio","Jimmy Rosenberg;Nomy Rosenberg",2004-03-29,218984,34,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:04:59Z,"swing music,french jazz","Hot Club Records",0.626,0.438,8,-10.779,1,0.0471,0.873,0.862,0.0936,0.712,82.291,4
spotify:track:5erj8jK6bq8MWFnDVv2HtI,"Ravel: String Quartet, M. 35: II. Assez vif - Très rythmé","Debussy, Fauré & Ravel: String Quartets","Maurice Ravel;Quatuor Ébène",2008-10-06,389213,35,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:05:10Z,"impressionism,classical,classical piano,neoclassical,chamber music","Warner Classics",0.286,0.0439,5,-24.745,1,0.042,0.925,0.551,0.147,0.0932,152.867,3
spotify:track:5qCRniPyl9Sst5Jv8NuzQ5,"Sonatine, M. 40: I. Modéré","Ravel: Sonatine / Valses Nobles Et Sentimentales / Gaspard De La Nuit","Maurice Ravel;Dezsö Ranki",2014-07-15,227466,0,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:05:22Z,"impressionism,classical,classical piano,neoclassical,chamber music","Hungaroton",0.295,0.0386,6,-25.853,0,0.0467,0.995,0.919,0.0966,0.0628,73.293,3
spotify:track:2sdhgaUlGB4WhHAw15GSwg,"Debussy: Piano Trio in G Major, CD 5, L. 5: IV. Finale - Appassionato","Debussy: Sonates & Trios","Claude Debussy;Renaud Capuçon;Edgar Moreau;Bertrand Chamayou",2017-11-03,313573,30,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:05:33Z,"impressionism,classical,classical piano,chamber music","Warner Classics",0.257,0.202,5,-17.676,0,0.0446,0.958,0.586,0.208,0.161,108.959,4
spotify:track:73FHnUWDmI526kxaHweWal,"Rachmaninov: Prelude No. 1 in C-Sharp Minor, Op. 3 No. 2 ""The Bells of Moscow""","Simon Trpčeski plays Rachmaninov","Sergei Rachmaninoff;Simon Trpčeski",2005-01-17,265480,31,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:06:10Z,"classical,classical piano,concerto,impressionism","Warner Classics",0.342,0.0304,1,-20.867,0,0.0487,0.988,0.898,0.0855,0.212,85.482,5
spotify:track:6VKzk7kt8AQMGHLqJIokQx,"Symphony No. 2 in E Minor, Op. 27: III. Adagio","Rachmaninoff: Symphony No. 2 in E Minor, Op. 27 - Lyadov: The Enchanted Lake, Op. 62","Sergei Rachmaninoff;Bergen Philharmonic Orchestra;Andrew Litton",2015-11-06,918706,0,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:06:26Z,"classical,classical piano,concerto,ballet,orchestral,expressionism","BIS",0.073,0.0626,9,-21.459,1,0.0415,0.966,0.905,0.0869,0.0347,79.061,3
spotify:track:2OZP1o9cKpLmY8wTp8RN9t,"Serenade for strings in E Minor, Op. 20: II. Larghetto","Piano Quintet; The Spanish Lady; La Capricieuse; Serenade Op. 20","Edward Elgar;Academy of St. Martin in the Fields;Sir Neville Marriner",2016-06-03,371600,0,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:06:49Z,"classical,orchestral,baroque,chamber music,concerto","Musical Concepts",0.139,0.0659,0,-21.765,1,0.0469,0.957,0.907,0.0733,0.0363,95.142,4
spotify:track:0mwn1hTGqC0luXpwI9EG3G,"Hungarian Rhapsody No. 6 in D-Flat Major, S. 244/6","Liszt: Piano Concerto No.1; Piano Sonata in B","Franz Liszt;Martha Argerich",2000-01-01,382266,32,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:08:39Z,"classical piano,classical,chamber music,impressionism,concerto","Deutsche Grammophon (DG)",0.413,0.281,1,-14.297,1,0.0527,0.99,0.89,0.159,0.19,126.707,4
spotify:track:4cBH4CbTMxorvPsvPgq2of,"Concerto for Violin, Piano and String Quartet in D Major, Op. 21: IV. Finale. Tres anime","Chausson: Concert for Violin, Piano and String Quartet - String Quartet","Ernest Chausson;Jennifer Pike;Tom Poster;Doric String Quartet",2013-02-05,607893,0,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:15:01Z,"impressionism,chamber music,electronic classical,contemporary classical","Chandos",0.198,0.241,0,-16.285,1,0.0426,0.955,0.00442,0.159,0.0755,81.562,4
spotify:track:6NzE6TTlRMXonm5YEMVlVc,"Love Is a Beautiful Thing","Heartbreak Hits","Theo Katzman",2017-01-06,210251,37,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:15:44Z,"retro soul","Theo Katzman",0.847,0.373,2,-12.174,1,0.0506,0.794,0.00241,0.275,0.446,114.011,4
spotify:track:0OBIHrjv88N4SEtf2INos5,"Heavy","Heavy","POWERS",2017-02-24,234356,49,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:16:05Z,"","Universal Records",0.739,0.689,4,-3.726,0,0.0468,0.00563,0.00000539,0.102,0.897,102.018,4
spotify:track:2hd9kBPUOaD2HOsFqYb4Jj,"New Light","New Light","Jotti",2018-08-03,171463,13,false,60727spb0sfh9ijzix1ya4dxi,2020-05-18T23:16:27Z,"","936706 Records DK",0.849,0.177,7,-14.898,1,0.0562,0.625,0.00000932,0.112,0.675,118.075,4
