Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1tTYOz9KfcXJgB1vON2DhW,"Lily of Casablanca","Modern Johnny Sings: Songs in the Age of Vibe","Theo Katzman",2020-01-10,253207,30,false,60727spb0sfh9ijzix1ya4dxi,2025-07-28T03:15:54Z,"retro soul","Ten Good Songs",0.567,0.442,0,-10.166,1,0.0968,0.71,0.00052,0.103,0.691,88.178,4
spotify:track:2QdXar3pthoqEFO9qY4CqZ,"Kygers Hill","Imaginary People","Viv & Riley",2023-09-15,216200,0,false,60727spb0sfh9ijzix1ya4dxi,2025-08-04T00:03:23Z,"americana","Free Dirt Records",0.654,0.624,11,-6.584,1,0.0288,0.23,0.000379,0.0733,0.444,128.998,4
spotify:track:1XxRYmDKuABtbtCozx3pA2,"Me & Magdalena","Good Times! (Deluxe Edition)","The Monkees",2016-05-27,213706,54,false,60727spb0sfh9ijzix1ya4dxi,2025-08-03T23:59:16Z,"","Rhino",0.738,0.43,7,-9.749,1,0.0295,0.377,0.0000103,0.0945,0.374,114.992,4
spotify:track:0LJrw4m55mJcLB8X2IPwpB,"My Valentine","Kisses On The Bottom","Paul McCartney",2012-01-01,194026,47,false,60727spb0sfh9ijzix1ya4dxi,2025-08-03T23:59:55Z,"","Paul McCartney Catalog",0.528,0.207,7,-12.18,0,0.0349,0.912,0.0000246,0.11,0.243,70.306,4
spotify:track:2MYidPOz5NHAtKUySTzbwx,"Paul","Masterpiece","Big Thief",2016-05-27,183894,61,true,60727spb0sfh9ijzix1ya4dxi,2025-08-04T00:00:06Z,"","4AD",0.477,0.264,11,-11.536,1,0.0399,0.215,0.000321,0.108,0.171,123.458,4
spotify:track:0i2fq5Hdn5dU6a3M638XRw,"Valentine","Hiding in Plain Sight","Drugdealer",2022-10-28,217706,49,false,60727spb0sfh9ijzix1ya4dxi,2025-08-05T16:54:00Z,"","Mexican Summer",0.796,0.454,5,-11.231,0,0.0369,0.572,0.209,0.209,0.906,129.544,4
spotify:track:6dYwUyKVFVU15wSjgVlVEg,"Knew You Well","Piper Oz the Hound","Art Lown",2021-10-29,138507,47,false,60727spb0sfh9ijzix1ya4dxi,2025-08-05T16:54:55Z,"","Anthology Recordings",0.548,0.423,0,-10.126,1,0.0273,0.623,0.000395,0.0894,0.574,100.813,4
spotify:track:6wYwk3tRHjx17fi9lAFmLX,"Piper Oz the Hound","Piper Oz the Hound","Art Lown",2021-10-29,143722,33,false,60727spb0sfh9ijzix1ya4dxi,2025-08-05T17:00:19Z,"","Anthology Recordings",0.572,0.542,7,-9.04,1,0.0299,0.699,0.0458,0.0836,0.656,138.209,4
spotify:track:0Mu66DtSizgRhe5XWTXVkW,"Nostalgia - Live at Funkhaus, 2019","Live at Funkhaus","Alice Phoebe Lou",2020-05-01,217529,0,true,60727spb0sfh9ijzix1ya4dxi,2025-08-09T21:24:45Z,"","Alice Phoebe Lou",0.42,0.249,9,-12.951,1,0.0449,0.83,0.000155,0.161,0.0953,118.06,3
spotify:track:1aMafyDbpEw3a8FrVhwRlg,"Angeles","Either/Or","Elliott Smith",1997-02-25,176826,58,false,60727spb0sfh9ijzix1ya4dxi,2025-08-17T20:31:30Z,"singer-songwriter","Kill Rock Stars",0.53,0.0993,4,-23.548,0,0.0549,0.859,0.197,0.153,0.588,118.139,4
spotify:track:1pTwsLvnN8xPULDGzRjnfd,"Clementine","Elliott Smith","Elliott Smith",1995-07-01,166320,59,false,60727spb0sfh9ijzix1ya4dxi,2025-08-20T00:28:07Z,"singer-songwriter","Kill Rock Stars",0.583,0.172,0,-18.04,1,0.0453,0.202,0.57,0.134,0.309,141.983,4
spotify:track:7Dt26KoNRmZpzlVwMe6LSP,"Angelina","Everything So Far","Pinegrove",2015-10-15,101053,16,false,60727spb0sfh9ijzix1ya4dxi,2025-08-31T04:48:40Z,"midwest emo","Run For Cover Records",0.447,0.541,1,-6.527,1,0.0279,0.386,0.00000115,0.338,0.436,101.07,4
spotify:track:6xB36Rdbu32JzbQGrPcRb7,"So Long, Frank Lloyd Wright","For The Sake Of The Rhyme","Madison Cunningham",2019-03-15,183973,12,false,60727spb0sfh9ijzix1ya4dxi,2025-09-09T06:42:39Z,"","Verve Forecast",0.616,0.058,7,-15.695,1,0.0496,0.942,0.000508,0.109,0.173,116.912,4
spotify:track:1yYlpGuBiRRf33e1gY61bN,"Night Shift","Historian","Lucy Dacus",2018-03-02,391829,66,true,60727spb0sfh9ijzix1ya4dxi,2025-09-20T07:43:47Z,"","Matador",0.48,0.311,9,-7.887,1,0.0258,0.313,0.0000152,0.113,0.162,86.15,4
spotify:track:0e1wfTwFaEyEqUB8adkgza,"When The Wind Is Blowing","Wild Life (Archive Collection)","Paul McCartney",1971-12-07,231653,47,false,60727spb0sfh9ijzix1ya4dxi,2025-09-22T04:37:49Z,"","Paul McCartney Catalog",0.602,0.169,7,-19.902,1,0.0301,0.863,0.846,0.112,0.305,76.365,4
spotify:track:0Q0IVlqMV64kNLlwjPj0Hl,"Killing Me Softly With His Song","The Score (Expanded Edition)","Fugees;Ms. Lauryn Hill",1996-02-13,298666,82,true,60727spb0sfh9ijzix1ya4dxi,2025-09-25T19:51:19Z,"east coast hip hop,neo soul","Columbia",0.765,0.289,4,-17.125,0,0.147,0.0268,0.00000177,0.562,0.501,92.413,4
