Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6ik5h69AqI6l3LlxpB9TBe,"Mango Love","Mango Love","Shawn Wasabi;SATICA",2018-10-19,181940,25,false,,2020-11-27T11:55:06Z,"","Shawn Wasabi",0.804,0.816,4,-3.628,1,0.0384,0.542,0.00401,0.079,0.908,140.008,4
spotify:track:4qTONez3E5S2oXf1ocpNuW,"PIZZA","PIZZA","OOHYO",2017-03-15,212408,0,false,,2020-11-27T11:55:06Z,"","MUN HWA IN",0.726,0.889,6,-4.251,0,0.0304,0.0171,0.00106,0.0741,0.538,119.983,4
spotify:track:6UwVBumIzgJg1GJwRbgYDy,"Bubblegum K.K. (From ""Animal Crossing: New Leaf"")","Bubblegum K.K. (From ""Animal Crossing: New Leaf"")","Qumu",2021-06-09,158400,0,false,,2020-11-27T11:55:06Z,"","Qumu",0.489,0.485,7,-12.502,1,0.0727,0.29,0.871,0.0662,0.422,113.227,5
spotify:track:77enz5hl8RicxrbPB56VXQ,"I Will Spend My Whole Life Loving You","I Will Spend My Whole Life Loving You","Imaginary Future;Kina Grannis",2017-06-16,227619,0,false,,2020-11-27T11:55:06Z,"folk pop,acoustic pop","Imaginary Future & Kina Grannis",0.637,0.129,11,-17.082,1,0.0346,0.887,0,0.0719,0.298,125.802,4
spotify:track:59qmUODXmHXiWwvG8WdzEW,"Love Is a Beautiful Thing","Hill Climber","Vulfpeck;Theo Katzman;Monica Martin",2018-12-07,233314,42,false,,2020-11-27T11:55:06Z,"funk,funk rock,retro soul","Vulf Records",0.805,0.314,7,-11.009,1,0.0616,0.322,0.00000129,0.112,0.566,114.353,4
spotify:track:3RauEVgRgj1IuWdJ9fDs70,"The Man","Lover","Taylor Swift",2019-08-23,190360,77,false,,2020-11-27T11:55:06Z,"","Taylor Swift",0.777,0.658,0,-5.191,1,0.054,0.0767,0,0.0901,0.633,110.048,4
spotify:track:4eWQlBRaTjPPUlzacqEeoQ,"Never Be the Same","Camila","Camila Cabello",2018-01-12,226986,79,false,,2020-11-27T11:55:06Z,"","Syco Music/Epic",0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,4
spotify:track:5UluDwGczz51tTGq2E4PR1,"What Did You Mean (When You Said Love)","Modern Johnny Wallows in Introspection and Gently Goes Mad","Theo Katzman",2019-12-20,275986,10,false,,2020-11-27T11:55:06Z,"retro soul","Ten Good Songs",0.819,0.44,6,-10.801,1,0.178,0.213,0.0364,0.102,0.814,116.717,4
spotify:track:4I0s9c8rjPVm4QoFtnW2lb,"LAX","LAX","Vulfpeck;Joey Dosik",2020-09-04,225665,0,false,,2020-11-27T11:55:06Z,"funk,funk rock,retro soul,retro pop","Vulf Records",0.8,0.599,0,-7.357,1,0.0344,0.00521,0.00547,0.0587,0.908,128.381,4
spotify:track:0vFJC16vkmxDqh5K2Hv5y6,"When She Loved Me - From ""Toy Story 2"" - Soundtrack Version","Rarities, B-Sides and Other Stuff, Volume 2","Sarah McLachlan",2008-04-14,184520,0,false,,2020-11-27T11:55:06Z,"","Arista",0.29,0.192,5,-11.287,1,0.0442,0.985,0.00000279,0.104,0.232,170.397,5
