Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7BDbyDs5FUmnh955RABFd7,"Good Kisser","Free Yourself Up","Lake Street Dive",2018-05-04,218493,62,false,60727spb0sfh9ijzix1ya4dxi,2024-10-17T15:58:21Z,"","Nonesuch",0.485,0.591,10,-3.888,1,0.0453,0.119,0.00278,0.0787,0.636,160.336,4
spotify:track:2m5dZNPs0NGfRmJn1ZRJNE,"Fuck My Landlord - (Live at Pete's Candy Store)","Live at Pete's Candy Store","Crab",2024-03-31,208283,1,true,60727spb0sfh9ijzix1ya4dxi,2024-10-17T16:11:44Z,"","Moozik Music Records",0.262,0.924,7,-6.319,1,0.136,0.00104,0.0085,0.923,0.538,91.369,4
spotify:track:5hCM5P0D9kmvC0UaLLA0rP,"Follow the Leader","Hang","Foxygen",2017-01-20,253226,32,false,60727spb0sfh9ijzix1ya4dxi,2024-10-17T16:19:59Z,"baroque pop,neo-psychedelic","Jagjaguwar",0.514,0.589,2,-8.249,1,0.032,0.0655,0.0000544,0.0862,0.726,115.284,4
spotify:track:7jay75cMfpEIyIkkvmemYr,"Dorothy","Songs of Her's","Her's",2017-05-12,246230,58,false,60727spb0sfh9ijzix1ya4dxi,2024-10-17T16:35:52Z,"indie","Heist Or Hit Records",0.518,0.899,1,-4.148,0,0.0384,0.0383,0.903,0.106,0.912,145.04,4
spotify:track:7KXjTSCq5nL1LoYtL7XAwS,"HUMBLE.","DAMN.","Kendrick Lamar",2017-04-14,177000,85,true,60727spb0sfh9ijzix1ya4dxi,2024-10-23T04:16:29Z,"hip hop,west coast hip hop","Aftermath",0.908,0.621,1,-6.638,0,0.102,0.000282,0.0000539,0.0958,0.421,150.011,4
spotify:track:0OA00aPt3BV10qeMIs3meW,"Big Dawgs","Big Dawgs","Hanumankind;Kalmi",2024-07-09,190666,77,true,60727spb0sfh9ijzix1ya4dxi,2024-10-23T04:16:37Z,"malayalam hip hop,desi hip hop","Universal Music India Pvt Ltd.",0.464,0.745,4,-3.202,0,0.161,0.0235,0,0.363,0.262,180.098,4
spotify:track:6DaiwReJVDozrI52XJeORQ,"The Other Side","Paul Vibhavadi Vol. 1","Phum Viphurit",2024-10-17,198000,16,false,60727spb0sfh9ijzix1ya4dxi,2024-10-23T04:21:06Z,"bedroom pop","9 Kick CO., LTD",0.617,0.906,8,-7.275,0,0.0399,0.035,0.408,0.386,0.664,120.01,4
spotify:track:1FvDJ9KGxcqwv1utyPL3JZ,"This Charming Man - 2011 Remaster","The Smiths","The Smiths",1984-02-20,162920,80,false,60727spb0sfh9ijzix1ya4dxi,2024-10-28T17:44:01Z,"new wave,madchester,jangle pop","WM UK",0.611,0.846,11,-5.9,1,0.0436,0.00509,0,0.0784,0.751,103.912,4
spotify:track:0gq91ysNXthd92AqCGYVzy,"I Can't Catch You","Sixpence None The Richer","Sixpence None The Richer",1997-11-22,252666,40,false,60727spb0sfh9ijzix1ya4dxi,2024-10-28T17:45:24Z,"","Curb | Word",0.463,0.728,7,-6.918,1,0.0242,0.00532,0.0949,0.312,0.541,98.594,4
spotify:track:7MDfN1ldfTMtuXXdVz2Pzc,"Tears Dry On Their Own","Back To Black (Deluxe Edition)","Amy Winehouse",2006,186440,75,true,60727spb0sfh9ijzix1ya4dxi,2024-10-28T17:49:27Z,"","Universal-Island Records Ltd.",0.634,0.543,1,-13.391,0,0.182,0.525,0,0.232,0.468,121.56,4
