Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1jZrlerU1ZWEI7oDPtHPGx,"MESS U MADE","AFTER DINNER WE TALK DREAMS","MICHELLE",2022-03-04,168542,45,true,60727spb0sfh9ijzix1ya4dxi,2024-10-21T14:44:12Z,"bedroom pop","Canvasback/ATL",0.674,0.366,4,-6.539,1,0.0381,0.341,0.0000073,0.125,0.346,126.994,3
spotify:track:7szBZqBJuj9eAC8HJ4CyTM,"That I Miss You","That I Miss You","Vansire",2018-07-17,140116,56,false,60727spb0sfh9ijzix1ya4dxi,2024-10-21T14:44:32Z,"bedroom pop","Vansire",0.779,0.572,4,-9.259,1,0.0396,0.306,0.739,0.106,0.967,114.994,4
spotify:track:55bAGINwthFraRx2BgFd07,"I Kissed a Girl, And She Kissed Me","Different State of Mind","Kid Bloom",2016-12-06,155500,49,false,60727spb0sfh9ijzix1ya4dxi,2024-10-21T14:45:30Z,"","Position Music under exclusive license from Kid Bloom",0.756,0.477,10,-12.308,1,0.0399,0.762,0.0621,0.177,0.566,118.02,4
spotify:track:30jui3PqevssdIVpjEWM38,"Is there free breakfast here?","Ugly Duck","Hotel Ugly",2023-03-24,129199,66,false,60727spb0sfh9ijzix1ya4dxi,2024-10-21T14:50:42Z,"","Hotel Ugly under exclusive license to Amuseio AB",0.615,0.373,2,-10.173,1,0.0278,0.597,0.00312,0.224,0.337,74.986,4
spotify:track:0R6sz2EUOMSM3qaZHEpG63,"2516","jams EP","Luna Li",2021-02-05,68000,50,false,60727spb0sfh9ijzix1ya4dxi,2024-10-21T15:00:25Z,"","In Real Life Music",0.514,0.693,6,-5.562,0,0.0263,0.0551,0.824,0.195,0.771,89.984,4
spotify:track:5lE2EFXt4muvLFMGQg4hZN,"Hypotheticals","Obviously","Lake Street Dive",2021-03-12,230178,71,false,60727spb0sfh9ijzix1ya4dxi,2024-10-21T15:01:36Z,"","Nonesuch",0.69,0.664,1,-6.488,1,0.0562,0.00753,0.00762,0.0496,0.383,164.145,4
spotify:track:1U675HGzKcVxVjdz522XYI,"Stuck On You","When We Were Younger","grentperez",2023-06-02,159477,46,false,60727spb0sfh9ijzix1ya4dxi,2024-10-21T15:03:28Z,"","Fast Friends",0.589,0.679,7,-6.139,1,0.0528,0.0769,0.000456,0.553,0.779,150.02,4
spotify:track:4dGuRldChjvboZktprNJFM,"Hush - Still Woozy Remix","Hush (Still Woozy Remix)","The Marías;Still Woozy",2021-09-16,182346,61,false,60727spb0sfh9ijzix1ya4dxi,2024-10-21T15:05:30Z,"bedroom pop","Nice Life/Atlantic",0.708,0.554,10,-6.83,0,0.0311,0.403,0.0428,0.126,0.564,103.999,4
spotify:track:0IN0ST4OUeSCWASMGa8DyP,"Gold Past Life","Gold Past Life","Fruit Bats",2019-06-21,209533,15,false,60727spb0sfh9ijzix1ya4dxi,2024-10-21T15:07:28Z,"","Merge Records",0.803,0.632,0,-8.495,1,0.0313,0.736,0.0374,0.085,0.719,94.002,4
spotify:track:1IyQVkQ5aZUg39cFPwQelq,"Kind of a Nice Time","Kind of a Nice Time","Vansire",2022-03-11,192026,23,false,60727spb0sfh9ijzix1ya4dxi,2024-10-21T15:15:39Z,"bedroom pop","Vansire",0.648,0.474,2,-10.315,1,0.0285,0.555,0.24,0.117,0.608,127.976,4
spotify:track:1A8QcZJKhUmJwdqzoAahvR,"Open My Door","Shelter","Alice Phoebe Lou",2023-07-07,153110,65,false,60727spb0sfh9ijzix1ya4dxi,2024-10-24T22:48:08Z,"","Alice Phoebe Lou",0.498,0.499,0,-6.681,1,0.0302,0.264,0.000605,0.269,0.559,144.84,3
spotify:track:6BrMEbPSSj55nQhkgf6DnE,"Please, Please, Please, Let Me Get What I Want - 2011 Remaster","Hatful of Hollow","The Smiths",1984,112706,80,false,60727spb0sfh9ijzix1ya4dxi,2024-10-29T14:55:17Z,"new wave,madchester,jangle pop","WM UK",0.241,0.468,2,-9.579,1,0.0272,0.534,0,0.161,0.451,91.581,3
