Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3Zz3TYhGfZT6NFcw6cDObt,"Voodoo Ray","Hot Lemonade","A Guy Called Gerald",1989-02-01,267106,52,false,surpriseitsbrooke,2024-08-06T05:34:44Z,"acid house,madchester,chicago house","Rham Records Ltd",0.683,0.789,2,-9.034,1,0.0602,0.03,0.0105,0.0724,0.657,119.504,4
spotify:track:2FBxkfO9B59XVkLyvbAbRm,"Blow Your House Down","Hot Lemonade","A Guy Called Gerald",1989-02-01,301337,25,false,surpriseitsbrooke,2024-08-06T05:36:54Z,"acid house,madchester,chicago house","Rham Records Ltd",0.778,0.624,2,-9.007,1,0.0671,0.0179,0.69,0.38,0.735,123.143,4
spotify:track:7N3FfUFMud1rjI6Vgw71mm,"Strings of Life","Innovator (Mayday)","Derrick May",2013-10-20,362946,0,false,surpriseitsbrooke,2024-08-06T05:37:05Z,"acid house,chicago house,techno","R&S Records",0.714,0.878,2,-6.209,1,0.065,0.153,0.811,0.0871,0.509,128.103,4
spotify:track:7hnqJYCKZFW7vMoykaraZG,"French Kiss - The Original Underground Mix","Club Epic - A Collection Of Classic Dance Mixes: Volume 4","Lil' Louis;The World",1996-01-30,591733,50,false,surpriseitsbrooke,2024-08-06T05:38:13Z,"chicago house,acid house","Epic Dance",0.689,0.505,6,-13.846,1,0.0867,0.0133,0.818,0.345,0.564,123.948,4
spotify:track:3OrcEhLzxv1YX597jGjEI7,"Move Your Body","Move Your Body","Marshall Jefferson;Solardo",2019-10-18,196109,68,false,surpriseitsbrooke,2024-08-06T05:39:11Z,"chicago house,acid house,house,tech house","Ultra Records, LLC",0.791,0.801,4,-6.344,0,0.07,0.00531,0.199,0.509,0.609,124.984,4
spotify:track:2aLXJJ2zOsBJlGTxiG0yMi,"Acid Tracks","Acid Tracks","Phuture",1987,737173,31,false,surpriseitsbrooke,2024-08-06T05:40:00Z,"acid house,chicago house,acid techno","Trax Records",0.792,0.918,6,-14.205,1,0.0713,0.018,0.918,0.129,0.506,120.438,4
spotify:track:7nQaBI1NTv5kpPyeMruTTK,"No Way Back","No Way Back","Adonis",2018-08-24,295911,37,false,surpriseitsbrooke,2024-08-06T05:40:22Z,"chicago house,acid house,hip house","Adonis Recordings",0.806,0.826,6,-12.77,1,0.0789,0.000759,0.865,0.119,0.427,125.323,4
spotify:track:3p2qNsBNwYt60BT5nqlkCv,"Time To Jack - Vocal Mix","Time To Jack","Chip E.",1986,320400,10,false,surpriseitsbrooke,2024-08-06T05:40:38Z,"chicago house,acid house,hip house","House Records",0.807,0.674,1,-10.832,1,0.0512,0.0201,0.51,0.107,0.743,124.653,4
spotify:track:7jGhlI2LQVDSmgMpOxFfAH,"On & On - Original Mega","20th Anniversary Of House Music Vol. 1: On And On","Jesse Saunders",2003-01-01,382266,26,false,surpriseitsbrooke,2024-08-06T05:44:44Z,"chicago house,acid house","Broken Records",0.753,0.702,7,-10.956,1,0.0579,0.000226,0.906,0.0757,0.252,121.404,4
spotify:track:6tvtFyEdNpeurBkT2zNMEL,"Your Love (feat. Jamie Principle)","Four Most Cuts Presents - Frankie Knuckles vs. Mr Fingers","Frankie Knuckles;Jamie Principle",1987,407453,0,false,surpriseitsbrooke,2024-08-06T05:44:52Z,"chicago house,acid house","Four Most Cuts",0.698,0.871,4,-7.923,0,0.0423,0.0213,0.844,0.0751,0.179,117.562,4
