Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:79tfNOyRszY54zHA9MGMC2,"It's My Life","Point of No Return - Previously Unreleased Masters, a Lost 45 & Rare Demos","Jim Ford",2008-01-25,171866,43,false,,1970-01-01T00:00:00Z,"","AMB",0.566,0.553,10,-5.489,0,0.0424,0.103,0.0000157,0.0569,0.308,84.738,4
spotify:track:6bxaw8I5FfDdlJuS2flyPV,"Written in Your Hair","Ode to a Rainy Day: Archives 1972-1975","Robert Lester Folsom",2014-10-21,166408,38,false,,1970-01-01T00:00:00Z,"","Anthology Recordings",0.557,0.819,7,-6.26,1,0.0352,0.134,0.0203,0.0938,0.826,85.54,4
spotify:track:0yT9wIJek4ZuMCTZA61mUc,"Put a Little Away","Seabird","Innovations",1977,228653,37,false,,1970-01-01T00:00:00Z,"","MAG",0.585,0.454,5,-7.749,1,0.023,0.317,0.000333,0.103,0.452,99.068,4
spotify:track:38dj9coHqmf0Wg1HP4K5IK,"Thoughts in My Mind","Thoughts in My Mind","Donnie & Joe Emerson;Eldon",2019-11-15,161500,46,false,,1970-01-01T00:00:00Z,"","Light in the Attic",0.499,0.355,6,-10.412,1,0.0295,0.975,0.837,0.107,0.315,76.442,4
spotify:track:5vj1pUVNWrYiPnGng5oufi,"Sails Across The Sea","Sails Across the Sea","Boz Metzdorf",2019-05-01,352806,36,false,,1970-01-01T00:00:00Z,"","Anthology Recordings",0.48,0.588,2,-8.917,1,0.0291,0.881,0.00383,0.138,0.495,90.006,4
spotify:track:4knHbTmO8DJwbJGEXlxb6F,"Red Lady","Hearts On Fire: Anthology","Phil Cordell",2008-11-01,150826,45,false,,1970-01-01T00:00:00Z,"","Cherry Red Records",0.494,0.853,6,-4.956,1,0.0302,0.527,0.0037,0.216,0.877,94.002,4
spotify:track:5tuhqbQduuN5lXB5vx4U6A,"Lover Now Alone","Songs From Down The Hall","Kevin Vicalvi",2002-01-01,187800,42,false,,1970-01-01T00:00:00Z,"","Left Records",0.399,0.535,5,-12.329,1,0.0349,0.255,0.0151,0.166,0.615,79.67,4
spotify:track:64dByZjmB5NN5PiWZQdM2X,"Fallin' Rain","Link Wray","Link Wray",1971-01-01,225200,52,false,,1970-01-01T00:00:00Z,"surf rock,rockabilly,proto-punk,native american music,psychobilly","Hip-O Select",0.435,0.375,8,-13.898,1,0.0349,0.868,0.193,0.117,0.424,101.41,4
spotify:track:64bWAl2OJFilKBf8bl5rXx,"Video Life","Guitar Graffiti (Expanded Edition)","Chris Spedding",1978-01-01,192960,49,false,,1970-01-01T00:00:00Z,"rockabilly,glam rock,power pop","Rhino",0.532,0.675,4,-5.914,1,0.0311,0.16,0.000535,0.643,0.64,67.911,4
spotify:track:2aRlCbFg3nN6ORmd47aUJx,"Stop And Think It Over","Tale Of My Lost Love","Female Species",2021-04-09,178026,50,false,,1970-01-01T00:00:00Z,"psychedelic rock","Numero Group",0.646,0.399,2,-10.7,0,0.0388,0.569,0.23,0.173,0.757,138.366,4
spotify:track:0LzLAqW1ij0hSECFe6rBl7,"Hurry Up Now","Harumi","Harumi",1968,232399,37,false,,1970-01-01T00:00:00Z,"baroque pop,psychedelic rock","ODL",0.553,0.193,5,-17.413,1,0.0379,0.952,0.782,0.165,0.286,105.145,4
spotify:track:2MS5QljYfJekJkoHrsArnn,"Plain As Your Eyes Can See","U.F.O.","Jim Sullivan",2010-11-16,147452,35,false,,1970-01-01T00:00:00Z,"baroque pop","Light in the Attic",0.72,0.538,4,-12.322,0,0.0279,0.312,0.0000102,0.129,0.863,98.626,4
