Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5tBkPbh3Xss1cq2JckWa9S,"pluto projector - instrumental","pluto projector - instrumental","no/vox;karaokey;Tazzy",2023-02-22,261903,25,false,60727spb0sfh9ijzix1ya4dxi,2023-10-12T03:52:36Z,"hypertechno,hardstyle,nightcore","Afterpeak Music Group",0.663,0.174,5,-12.994,1,0.0431,0.58,0.951,0.109,0.0778,81.81,4
spotify:track:2dOBsJnZHmGAr0yQgDo56E,"Traingazing - Acoustic","Traingazing (Acoustic)","Sam Wills;Honey Mooncie",2020-05-29,198053,0,false,60727spb0sfh9ijzix1ya4dxi,2023-10-12T03:53:55Z,"","eOne Music UK",0.486,0.0704,1,-18.852,0,0.0468,0.956,0.00000745,0.111,0.092,74.332,4
spotify:track:0OuOPYd05eORfLw94apb8j,"Street by Street","Street by Street","Laufey",2020-04-06,224098,61,false,60727spb0sfh9ijzix1ya4dxi,2023-10-12T03:55:15Z,"","Laufey",0.694,0.279,0,-10.871,1,0.0546,0.87,0.00000249,0.137,0.216,82.068,4
spotify:track:6PVx8IYQJdeLa2AIJnnFrj,"Revvin' My Cj7","So Polite","Summer Salt",2017-07-18,168205,23,false,60727spb0sfh9ijzix1ya4dxi,2023-10-12T03:55:36Z,"","Cherry Lime Records",0.762,0.468,10,-7.969,1,0.0464,0.934,0.102,0.115,0.347,119.88,4
spotify:track:1I9GllIh1R3EMvTFT5Tfn7,"Fair-Weather Friend","A Song For Every Moon","Bruno Major",2017-08-31,186712,0,false,60727spb0sfh9ijzix1ya4dxi,2023-10-12T03:56:17Z,"","Bruno Major",0.68,0.34,6,-6.985,1,0.115,0.56,0.0021,0.0705,0.391,131.353,3
spotify:track:0lKTZbj7of6RjyzsT65SUo,"The Show Must Go On","Columbo","Bruno Major",2023-07-21,266268,47,false,60727spb0sfh9ijzix1ya4dxi,2023-10-12T03:56:24Z,"","Bruno Major",0.672,0.291,7,-10.659,1,0.0387,0.669,0.00118,0.41,0.313,131.996,4
spotify:track:0ttVAF5zheWZoLI3pURxWS,"A Strange Kind Of Beautiful","Columbo","Bruno Major",2023-07-21,212052,45,false,60727spb0sfh9ijzix1ya4dxi,2023-10-12T03:56:32Z,"","Bruno Major",0.372,0.152,0,-15.251,1,0.0368,0.964,0.000107,0.121,0.137,147.843,3
spotify:track:3fk4yTACtSqCzDol4mBPdt,"Absence of You","Absence of You","grentperez",2022-01-14,194745,57,false,60727spb0sfh9ijzix1ya4dxi,2023-10-12T03:56:43Z,"","Fast Friends",0.429,0.431,7,-9.741,1,0.0695,0.346,0.000036,0.104,0.165,71.173,3
spotify:track:1tTYOz9KfcXJgB1vON2DhW,"Lily of Casablanca","Modern Johnny Sings: Songs in the Age of Vibe","Theo Katzman",2020-01-10,253207,30,false,60727spb0sfh9ijzix1ya4dxi,2023-10-12T04:00:01Z,"retro soul","Ten Good Songs",0.567,0.442,0,-10.166,1,0.0968,0.71,0.00052,0.103,0.691,88.178,4
spotify:track:2LlOeW5rVcvl3QcPNPcDus,"Always","NEVER ENOUGH","Daniel Caesar",2023-04-07,225312,85,true,60727spb0sfh9ijzix1ya4dxi,2023-10-16T03:30:21Z,"","Republic Records",0.578,0.436,2,-8.202,1,0.0461,0.666,0.0000019,0.106,0.199,135.86,4
spotify:track:4kSC1tqpUxYdZTqtA0aztf,"Must Be Love","Bewitched","Laufey",2023-09-08,184960,62,false,60727spb0sfh9ijzix1ya4dxi,2023-10-16T03:30:36Z,"","Laufey",0.413,0.171,0,-13.432,1,0.0348,0.962,0.000256,0.108,0.224,142.205,4
spotify:track:3vkCueOmm7xQDoJ17W1Pm3,"My Love Mine All Mine","The Land Is Inhospitable and So Are We","Mitski",2023-09-15,137773,87,false,60727spb0sfh9ijzix1ya4dxi,2023-10-16T20:41:18Z,"","Dead Oceans",0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
spotify:track:3r23QbwKAF8t9E09QOQTFv,"Mia & Sebastian's Theme","Acoustic Covers, Vol. 1","AcousticTrench",2019-01-25,83200,24,false,60727spb0sfh9ijzix1ya4dxi,2023-12-28T02:58:59Z,"","AcousticTrench",0.646,0.0826,9,-20.77,1,0.0439,0.984,0.848,0.132,0.293,76.435,3
spotify:track:2JKtCvtxP47fOMYi0BjMoY,"Tree Among Shrubs","Untourable Album","Men I Trust",2021-08-25,188301,65,false,60727spb0sfh9ijzix1ya4dxi,2024-12-11T19:11:40Z,"bedroom pop,indie pop","Independent",0.713,0.443,11,-11.704,0,0.0538,0.656,0.799,0.111,0.848,76.79,4
