Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5411TEB6tlzvuF5A4oyldr,"Francis Forever","Bury Me At Makeout Creek","Mitski",2014-11-11,149680,74,false,60727spb0sfh9ijzix1ya4dxi,2024-06-22T16:27:12Z,"","Dead Oceans",0.535,0.448,2,-9.167,1,0.0279,0.00262,0.0000194,0.115,0.32,101.986,4
spotify:track:5N3hjp1WNayUPZrA8kJmJP,"Please Please Please","Please Please Please","Sabrina Carpenter",2024-06-06,186365,80,true,60727spb0sfh9ijzix1ya4dxi,2024-06-22T16:27:17Z,"pop","Island Records",0.669,0.586,9,-6.073,1,0.054,0.274,0,0.104,0.579,107.071,4
spotify:track:2bt1cEwiLzcClL5bTs0ezd,"Hospital","Revealer","Madison Cunningham",2022-09-09,213328,38,false,60727spb0sfh9ijzix1ya4dxi,2024-06-22T16:27:24Z,"","Verve Forecast",0.547,0.507,4,-8.717,1,0.0353,0.527,0,0.268,0.673,142.102,4
spotify:track:17xEsvmC0ChkLDPlQaF2vh,"Meet the Plastics","Mean Girls (Music From The Motion Picture)","Reneé Rapp",2024-01-12,89187,47,false,60727spb0sfh9ijzix1ya4dxi,2024-06-22T16:31:24Z,"","Paramount Pictures/Interscope Records",0.184,0.599,10,-8.643,0,0.0697,0.0874,0.000324,0.113,0.17,195.463,4
spotify:track:3xLOD2jhRXA9CVEfNRHt6C,"What Doesn't Kill You Makes You Paranoid","Blame My Ex","The Beaches",2023-09-15,231518,48,true,60727spb0sfh9ijzix1ya4dxi,2024-06-22T16:33:14Z,"","The Beaches",0.42,0.732,4,-4.853,1,0.0374,0.00398,0,0.356,0.627,57.966,4
spotify:track:6fPan2saHdFaIHuTSatORv,"L’AMOUR DE MA VIE","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,333986,81,false,60727spb0sfh9ijzix1ya4dxi,2024-06-23T04:26:23Z,"","Darkroom/Interscope Records",0.467,0.392,9,-9.355,1,0.0908,0.2,0.0174,0.106,0.313,145.104,4
spotify:track:1yYlpGuBiRRf33e1gY61bN,"Night Shift","Historian","Lucy Dacus",2018-03-02,391829,66,true,60727spb0sfh9ijzix1ya4dxi,2024-06-23T20:32:25Z,"","Matador",0.48,0.311,9,-7.887,1,0.0258,0.313,0.0000152,0.113,0.162,86.15,4
spotify:track:0jcw8cJf3TNMZN0BXlueML,"Hell N Back (feat. Summer Walker)","Halo","Bakar;Summer Walker",2023-09-21,195147,71,true,60727spb0sfh9ijzix1ya4dxi,2024-06-27T03:41:00Z,"r&b","Black Butter",0.64,0.673,5,-4.519,0,0.563,0.288,0.00000215,0.113,0.736,209.942,4
spotify:track:7sg9kDT8H2P0wPACXnWRdN,"Tamagotchi","Ivory","Omar Apollo",2022-04-08,168920,46,true,60727spb0sfh9ijzix1ya4dxi,2024-07-26T15:22:07Z,"bedroom pop","Warner Records",0.755,0.514,11,-6.942,0,0.173,0.083,0,0.128,0.553,133.1,4
spotify:track:1rNSCrsOoWyhKH4g47mehU,"Super Graphic Ultra Modern Girl","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-22,183888,68,false,60727spb0sfh9ijzix1ya4dxi,2024-07-26T19:33:01Z,"","Chappell Roan PS/ Island",0.646,0.905,1,-4.526,1,0.0695,0.0321,0.00000793,0.23,0.787,125.891,4
