Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3TiVCPJrFiBzpAverOkPL1,"소녀","3집 - 난 아직 모르잖아요","Lee Moon Sae",1985-11-20,220053,49,false,60727spb0sfh9ijzix1ya4dxi,2025-11-11T20:26:14Z,"k-ballad","(주)킹레코드",0.577,0.235,5,-13.24,1,0.0325,0.718,0.000173,0.103,0.175,127.818,4
spotify:track:7fETFt5bKDjgMN0ttQAf3L,"비처럼 음악처럼","김현식 Vol.3","Kim Hyunshik",1986-12-05,277506,42,false,60727spb0sfh9ijzix1ya4dxi,2025-11-11T20:34:23Z,"k-ballad","Beyond Music",0.44,0.312,5,-13.303,1,0.0282,0.0646,0,0.109,0.126,126.827,4
spotify:track:3JdCArvSRYpO5FIgGvpA9Q,"불멸의 사랑","To Heaven","Jo Sung Mo",1998-09-01,276532,35,false,60727spb0sfh9ijzix1ya4dxi,2025-11-11T20:44:39Z,"k-ballad","Genie Music Corporation",0.428,0.532,4,-7.116,0,0.0332,0.572,0.00000326,0.166,0.14,131.924,4
spotify:track:0TjV6Zi66f2ARFRsfd76Jr,"먼지가 되어","김광석 Best","Kim Kwang Seok",2005-12-12,206960,44,false,60727spb0sfh9ijzix1ya4dxi,2025-11-11T20:59:24Z,"k-ballad","With 33 Entertainment",0.614,0.373,7,-12.066,1,0.0278,0.407,0.0000957,0.0523,0.55,88.961,4
spotify:track:4zQ8Y3TeQ98xWm20ebX3Cc,"Spring","Now","Kim Jung Mi",1973,303773,47,false,60727spb0sfh9ijzix1ya4dxi,2025-11-11T20:59:41Z,"","Lion Productions",0.298,0.278,4,-14.879,0,0.0351,0.862,0.396,0.113,0.348,142.847,4
spotify:track:4YxwPJrGqEnSMZA2f7EnRV,"For Your Soul","For Your Soul","Jo Sung Mo",1999-09-09,263400,35,false,60727spb0sfh9ijzix1ya4dxi,2025-11-11T21:04:26Z,"k-ballad","Genie Music Corporation",0.392,0.393,5,-7.794,0,0.0589,0.445,0,0.102,0.36,74.953,4
spotify:track:4OKJVnIyO8KRq182dstNOI,"이미 슬픈 사랑","Wear To Healing","야다",1999-04-27,243908,52,false,60727spb0sfh9ijzix1ya4dxi,2025-11-11T21:13:58Z,"k-ballad,k-rock","쿠킹뮤직",0.448,0.545,6,-6.86,1,0.0327,0.0613,0,0.107,0.0798,125.839,4
spotify:track:5BBQdw7AKJanjBC7ZqyKBr,"인연","Blue Swallow","Lee Seung Chul",2005-12-22,281600,44,false,60727spb0sfh9ijzix1ya4dxi,2025-11-11T21:16:46Z,"k-ballad","Jin & Won Music Works",0.434,0.311,8,-8.107,1,0.038,0.802,0.00000145,0.157,0.0991,66.341,4
spotify:track:2HlcvbdJJyZDLbHtRtqAja,"광화문 연가","이문세 5집","Lee Moon Sae",1988-11-05,223493,39,false,60727spb0sfh9ijzix1ya4dxi,2025-11-11T21:20:47Z,"k-ballad","(주)킹레코드",0.518,0.227,7,-15.681,0,0.0271,0.774,0.00000557,0.0794,0.116,97.421,3
spotify:track:6eWBkkPpdh4BIVnWCe2kqT,"Tragic Love","Cho Yongpil 4","Cho Yong Pil",1982-05-01,282865,3,false,60727spb0sfh9ijzix1ya4dxi,2025-11-12T17:40:12Z,"k-ballad","Jigu Records",0.466,0.298,10,-13.658,0,0.0285,0.354,0,0.115,0.207,83.471,4
spotify:track:63GUaCau0MkzeQGqcevyHb,"아침이슬","Past Life of 김민기 (6CD Box Set)","김민기",2004-10-21,210207,16,false,60727spb0sfh9ijzix1ya4dxi,2025-11-12T23:02:42Z,"","학전",0.272,0.235,0,-17.042,1,0.0339,0.959,0.0021,0.128,0.157,82.713,4
spotify:track:6iKNffQwUuDAmAQG17CZWa,"꽃밭에서","40th Anniversary celebrations 정훈희","정훈희",2008-07-08,245524,14,false,60727spb0sfh9ijzix1ya4dxi,2025-11-12T23:05:31Z,"k-ballad","뮤직마운틴",0.274,0.282,5,-8.334,1,0.0291,0.712,0.0000208,0.0849,0.158,141.516,4
spotify:track:5aKSw3hRnqjuJPraxYwC7o,"자장가","김광석 Best","Kim Kwang Seok",2005-12-12,53666,18,false,60727spb0sfh9ijzix1ya4dxi,2025-11-12T23:21:09Z,"k-ballad","With 33 Entertainment",0.563,0.091,9,-21.314,0,0.056,0.768,0.748,0.117,0.197,74.823,3
spotify:track:4RjpuRmSfzNtuKgqBurPGp,"이등병의 편지","김광석 Best","Kim Kwang Seok",2005-12-12,286106,14,false,60727spb0sfh9ijzix1ya4dxi,2025-11-12T23:26:40Z,"k-ballad","With 33 Entertainment",0.379,0.194,7,-12.777,1,0.0365,0.859,0,0.0487,0.25,127.397,3
spotify:track:0yamqkAFAmpdLNVcmJLSo8,"Never Ending Story","새벽","BOOHWAL",2002-09-01,253933,56,false,60727spb0sfh9ijzix1ya4dxi,2025-11-25T02:27:39Z,"k-ballad,k-rock","SM Entertainment",0.366,0.483,6,-6.602,1,0.0349,0.495,0,0.0881,0.192,122.09,4
