Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6ezu6eBoivEKYMB5YIfYzg,"사랑했지만","김광석 '나의 노래' BOX SET (Remastered)","Kim Kwang Seok",2012-09-07,267266,0,false,michelle142,2020-08-08T23:38:17Z,"k-ballad","With 33 Entertainment",0.48,0.24,2,-10.77,1,0.0271,0.495,0,0.0832,0.164,161.449,4
spotify:track:14ObhabWog4aKAjwPPIxI3,"바람이 불어오는 곳","김광석 4집 리마스터링앨범","Kim Kwang Seok",2014-11-12,201613,0,false,michelle142,2020-08-08T21:38:06Z,"k-ballad","With 33 Entertainment",0.725,0.497,6,-9.987,1,0.0266,0.528,0.0000549,0.265,0.777,107.809,4
spotify:track:3e7h0bLjkQNGppRGqXW8F1,"너를 사랑해","너를 사랑해","한동준",1994-06-01,265440,0,false,michelle142,2020-08-08T23:13:09Z,"","예전미디어",0.579,0.185,2,-14.962,1,0.0287,0.805,0.000387,0.0982,0.321,103.912,4
spotify:track:6kjIBvMBIYxy0fWUf9BFem,"Someday","Darkness","Lee Sang-Eun",1993-01-01,254106,41,false,michelle142,2020-08-08T22:15:33Z,"k-ballad","Breeze Music",0.629,0.257,7,-15.225,1,0.0309,0.158,0.00000921,0.219,0.401,133.757,4
spotify:track:2p5TdDBoY6eEvTQuzyurTV,"너의 의미 The Meaning of You","제10집 Volume 10","Sanullim",1984-07-20,223293,0,false,michelle142,2020-08-08T21:45:42Z,"k-rock,k-ballad","Kim Chang Wan",0.572,0.125,4,-22.173,0,0.0288,0.47,0.0669,0.142,0.415,79.406,4
spotify:track:6DVq2uRrYyQfChAlsTJ11g,"비처럼 음악처럼","김현식 3집","Kim Hyunshik",1986-12-01,277580,0,false,michelle142,2020-08-08T23:02:14Z,"k-ballad","동아엔터테인먼트",0.431,0.337,5,-12.648,1,0.0283,0.0495,0,0.122,0.124,126.7,4
spotify:track:1u7iNnJrdfJcuqSvtFIo3P,"오늘같은 밤이면(그리움)","먼훗날에/오늘 같은 밤이면","Park Jungwoon",1993-04-30,288693,31,false,michelle142,2024-02-13T01:56:13Z,"k-ballad","RIAK",0.572,0.208,4,-16.602,1,0.0277,0.593,0.00000938,0.103,0.244,132.974,4
spotify:track:3gAxHUsVXzbPIYXdSRcAS4,"내 사랑 내곁에","김현식 6집","Kim Hyunshik",1991-01-01,263836,0,false,michelle142,2020-08-08T22:44:12Z,"k-ballad","동아엔터테인먼트",0.498,0.274,7,-17.162,1,0.0303,0.162,0.00000999,0.473,0.379,124.288,4
spotify:track:5CO3WE0VBWr4PMLaWJHmWl,"내가 만일","안치환4집","안치환",1995-08-01,231288,26,false,michelle142,2020-08-08T22:47:41Z,"k-ballad,k-rock","오감엔터테인먼트",0.539,0.298,1,-11.139,1,0.0258,0.813,0,0.12,0.221,76.955,4
spotify:track:7BjhxeOmjwF7cSWcx5lXhG,"그녀의 웃음소리뿐","광화문 연가","Lee Moon Sae",2011-03-25,400786,0,false,michelle142,2020-08-08T22:54:46Z,"k-ballad","예전미디어",0.494,0.47,2,-10.551,0,0.03,0.0532,0.00000955,0.342,0.369,133.245,4
